Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Year,Month,Day
0,4,3,0,0,0,3,run out,1,v Australia,Bengaluru,2013-11-02,2013,11,2
86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,2013-11-21,2013,11,21
99,159,100,9,0,99,3,caught,1,v West Indies,Visakhapatnam,2013-11-24,2013,11,24
19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,2013-11-27,2013,11,27
31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,2013-12-05,2013,12,5
0,7,5,0,0,0,3,caught,2,v South Africa,Durban,2013-12-08,2013,12,8
123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,2014-01-19,2014,1,19
78,88,65,7,2,120,3,caught,2,v New Zealand,Hamilton,2014-01-22,2014,1,22
2,14,10,0,0,20,2,caught,1,v New Zealand,Hamilton,2014-01-28,2014,1,28
82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,2014-01-31,2014,1,31
136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,2014-02-26,2014,2,26
0,1,3,0,0,0,3,caught,1,v England,Cardiff,2014-08-27,2014,8,27
40,67,50,2,1,80,3,caught,2,v England,Nottingham,2014-08-30,2014,8,30
1*,9,3,0,0,33.33,3,not out,2,v England,Birmingham,2014-09-02,2014,9,2
13,25,21,2,0,61.9,3,caught,2,v England,Leeds,2014-09-05,2014,9,5
2,7,5,0,0,40,3,caught,2,v West Indies,Kochi,2014-10-08,2014,10,8
62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,2014-10-11,2014,10,11
127,164,114,13,3,111.4,3,run out,1,v West Indies,Dharamsala,2014-10-17,2014,10,17
22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,2014-11-02,2014,11,2
49,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,2014-11-06,2014,11,6
53,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),2014-11-09,2014,11,9
66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Kolkata,2014-11-13,2014,11,13
139*,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,2014-11-16,2014,11,16
9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,2015-01-18,2015,1,18
1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,2015-03-26,2015,3,26
1,9,4,0,0,25,3,caught,2,v Bangladesh,Dhaka,2015-06-18,2015,6,18
23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Dhaka,2015-06-21,2015,6,21
25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Dhaka,2015-06-24,2015,6,24
11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,2015-10-11,2015,10,11
12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,2015-10-14,2015,10,14
77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,2015-10-18,2015,10,18
138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,2015-10-22,2015,10,22
7,11,6,0,1,116.66,3,caught,2,v South Africa,Mumbai,2015-10-25,2015,10,25
91,148,97,9,1,93.81,3,caught,1,v Australia,Perth,2016-01-12,2016,1,12
59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,2016-01-15,2016,1,15
117,174,117,7,2,100,3,caught,1,v Australia,Melbourne,2016-01-17,2016,1,17
106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,2016-01-20,2016,1,20
8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,2016-01-23,2016,1,23
85*,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,2016-10-16,2016,10,16
9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,2016-10-20,2016,10,20
154*,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,2016-10-23,2016,10,23
45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,2016-10-26,2016,10,26
65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,2016-10-29,2016,10,29
122,147,105,8,5,116.19,3,caught,2,v England,Pune,2017-01-15,2017,1,15
8,6,5,2,0,160,3,caught,1,v England,Cuttack,2017-01-19,2017,1,19
55,81,63,8,0,87.3,3,caught,2,v England,Kolkata,2017-01-22,2017,1,22
