Rank,Name,Game Type,Map,Game Rank,1st Ability,2nd Ability,3rd Ability,Ultimate,Matches
15,Omen,unrated,pearl,,6.2,20.9,4.9,1.6,"119,445"
16,Breach,unrated,pearl,,12.8,13.5,5.8,1.7,"38,483"
17,Yoru,unrated,pearl,,10.4,15.2,9.3,2.3,"128,770"
18,Sova,unrated,pearl,,7.6,17.9,3.7,1.4,"125,437"
19,Harbor,unrated,pearl,,5.1,12.9,12.1,2.2,"42,410"
20,KAY/O,unrated,pearl,,10.4,18,5.8,1.7,"87,763"
1,Killjoy,unrated,haven,,10.1,6.5,14.9,1.9,"114,149"
2,Reyna,unrated,haven,,11.7,4.3,12,1.3,"324,712"
3,Raze,unrated,haven,,10.4,12.1,8.8,1.9,"200,462"
4,Sage,unrated,haven,,7.1,6.9,7.2,1.2,"303,790"
5,Brimstone,unrated,haven,,5.8,24.2,5.2,1.9,"94,140"
6,Breach,unrated,haven,,12.7,14.2,5.9,1.7,"44,767"
7,Cypher,unrated,haven,,15.7,11.7,21.3,2.2,"84,600"
8,Omen,unrated,haven,,6.3,22.2,6.5,1.6,"171,689"
9,Skye,unrated,haven,,6.8,16.8,2.9,2.3,"82,885"
10,Fade,unrated,haven,,3.4,15.8,10.4,1.7,"117,115"
11,Astra,unrated,haven,,3.1,19.6,4.9,1.6,"30,109"
12,Phoenix,unrated,haven,,9.2,6.5,3.3,2.4,"171,246"
13,Neon,unrated,haven,,9.3,14.5,4.2,1.6,"124,620"
14,Jett,unrated,haven,,7.1,13.2,9,1.8,"281,255"
15,Viper,unrated,haven,,5.8,12,8.5,1.2,"77,262"
16,Sova,unrated,haven,,7.4,17.8,3.8,1.5,"147,882"
17,Chamber,unrated,haven,,3.6,8,9.8,1.8,"88,242"
18,Yoru,unrated,haven,,10,14.9,9.2,2.3,"125,615"
19,Harbor,unrated,haven,,4.7,11.5,12,2,"29,005"
20,KAY/O,unrated,haven,,9.8,17.7,5.4,1.6,"82,945"
1,Killjoy,unrated,lotus,,9.3,6.6,14.7,2,"117,386"
2,Raze,unrated,lotus,,10,12.6,8.9,1.9,"220,074"
3,Reyna,unrated,lotus,,11.8,4.4,12.4,1.4,"342,025"
4,Astra,unrated,lotus,,3.5,17.8,5.4,1.5,"31,669"
5,Sage,unrated,lotus,,6.9,6.6,6.1,1.2,"306,088"
6,Fade,unrated,lotus,,3.5,15.8,10.6,1.7,"126,697"
7,Breach,unrated,lotus,,13.6,15.1,5.7,1.8,"65,021"
8,Cypher,unrated,lotus,,14.5,11.6,20.5,2.2,"81,920"
9,Chamber,unrated,lotus,,3.7,7.1,9.3,1.8,"92,637"
10,Viper,unrated,lotus,,5.5,11.7,8.5,1.2,"84,281"
11,Jett,unrated,lotus,,6.1,13,8.4,1.8,"284,111"
12,Skye,unrated,lotus,,6.6,17.2,2.9,2.4,"97,033"
13,Phoenix,unrated,lotus,,9.1,6.3,3.2,2.5,"182,241"
14,Neon,unrated,lotus,,9.9,14.1,4,1.6,"142,873"
15,Omen,unrated,lotus,,6.6,19.9,5,1.5,"147,865"
16,Brimstone,unrated,lotus,,5.8,22,5,1.9,"87,583"
17,Sova,unrated,lotus,,6.7,16.9,3.3,1.5,"129,308"
18,Yoru,unrated,lotus,,10.1,14,9.2,2.3,"132,983"
19,KAY/O,unrated,lotus,,10,17.5,5.3,1.7,"94,865"
20,Harbor,unrated,lotus,,4.3,11.6,12.1,2.2,"45,177"
1,Killjoy,unrated,icebox,,9,7,14.3,1.9,"108,216"
2,Viper,unrated,icebox,,6.4,13.4,8.2,1.4,"153,763"
3,Reyna,unrated,icebox,,11.7,4.3,10.8,1.3,"321,979"
4,Sage,unrated,icebox,,6.6,6.7,6.3,1.2,"314,143"
5,Raze,unrated,icebox,,12,11.9,8.1,1.8,"204,253"
6,Jett,unrated,icebox,,9.9,12.9,7.6,1.8,"288,601"
7,Fade,unrated,icebox,,3.2,16.3,9.3,1.7,"111,680"
8,Skye,unrated,icebox,,6.1,14.7,2.6,2.3,"70,148"
9,Chamber,unrated,icebox,,3.6,8.2,8.9,1.8,"89,057"
10,Sova,unrated,icebox,,7.2,18.7,4,1.4,"170,894"
11,Neon,unrated,icebox,,8.3,14.5,3.8,1.6,"128,609"
12,Phoenix,unrated,icebox,,7.2,5.9,3,2.3,"155,871"
13,Astra,unrated,icebox,,3.1,16.8,4.3,1.6,"18,519"
14,Omen,unrated,icebox,,5.2,18.1,8.3,1.5,"132,952"
15,Breach,unrated,icebox,,11,12.7,5.2,1.7,"32,599"
16,Cypher,unrated,icebox,,13,11.5,18.9,2,"61,264"
17,Brimstone,unrated,icebox,,5.2,21.7,4.4,1.8,"69,815"
18,Yoru,unrated,icebox,,8.7,14.6,8.7,2.2,"126,407"
19,KAY/O,unrated,icebox,,8.8,17.9,5.2,1.7,"87,606"
20,Harbor,unrated,icebox,,4.5,12,11.1,2.1,"30,384"
1,Killjoy,unrated,all,,9.7,6.8,15.7,2,"838,047"
2,Reyna,unrated,all,,11.7,4.4,12.3,1.4,"2,281,839"
3,Raze,unrated,all,,10.8,12.5,8.9,1.9,"1,472,868"
4,Sage,unrated,all,,7.4,6.9,6.8,1.2,"2,139,374"
5,Viper,unrated,all,,6.3,12.5,8.8,1.3,"716,158"
6,Fade,unrated,all,,3.6,16.6,10.7,1.7,"857,735"
7,Cypher,unrated,all,,15.4,11.9,20.5,2.1,"582,056"
8,Astra,unrated,all,,3.3,19.5,5.2,1.6,"209,487"
9,Skye,unrated,all,,6.8,17.1,2.9,2.4,"575,245"
10,Brimstone,unrated,all,,5.9,23.9,5.2,1.9,"632,157"
11,Breach,unrated,all,,13,14.4,5.9,1.8,"349,043"
12,Jett,unrated,all,,7,13.2,8.7,1.8,"1,943,390"
13,Phoenix,unrated,all,,9.1,6.5,3.4,2.5,"1,184,222"
14,Omen,unrated,all,,6.2,21,5.9,1.6,"1,004,854"
15,Neon,unrated,all,,9.6,14.4,4.3,1.6,"920,825"
16,Chamber,unrated,all,,3.6,7.3,9.4,1.8,"617,141"
17,Sova,unrated,all,,7.5,18,3.8,1.5,"980,098"
18,Yoru,unrated,all,,10,14.6,9.2,2.3,"880,186"
19,Harbor,unrated,all,,4.6,12,11.9,2.1,"240,145"
20,KAY/O,unrated,all,,10.1,17.8,5.6,1.7,"613,161"
1,Killjoy,unrated,split,,9.8,6.7,15.9,2,"123,726"
2,Raze,unrated,split,,11.3,13,9.5,2,"245,916"
3,Sage,unrated,split,,8.1,7.2,7.6,1.3,"329,225"
4,Reyna,unrated,split,,11.7,4.4,12.9,1.4,"331,564"
5,Skye,unrated,split,,7.7,18.3,3.1,2.4,"90,003"
6,Cypher,unrated,split,,16.4,11.9,20.2,2.2,"99,201"
7,Viper,unrated,split,,6.6,12.3,9.2,1.2,"96,423"
8,Brimstone,unrated,split,,6.2,24.3,5.3,1.9,"92,031"
9,Fade,unrated,split,,3.8,16.8,11.2,1.7,"121,414"
10,Omen,unrated,split,,6.6,22.4,6,1.7,"158,585"
11,Astra,unrated,split,,3.3,20.2,5.4,1.6,"33,038"
12,Phoenix,unrated,split,,9.8,6.7,3.5,2.5,"172,887"
13,Breach,unrated,split,,13.1,14.3,6,1.8,"47,563"
14,Jett,unrated,split,,5.9,13.1,9.1,1.8,"275,631"
15,Neon,unrated,split,,9.9,14.4,4.3,1.6,"128,818"
16,Yoru,unrated,split,,10.5,14.8,9.4,2.3,"126,296"
17,Chamber,unrated,split,,3.5,6.9,9.4,1.8,"81,611"
18,Sova,unrated,split,,7.5,17.5,3.7,1.4,"126,567"
19,KAY/O,unrated,split,,10.4,17.9,5.8,1.7,"88,734"
20,Harbor,unrated,split,,4.7,12.4,12.1,2.1,"30,715"
1,Killjoy,unrated,ascent,,10,7,17.7,2.1,"151,897"
2,Raze,unrated,ascent,,11.3,13.2,9.1,1.9,"211,302"
3,Reyna,unrated,ascent,,11.7,4.4,13,1.3,"318,487"
4,Sage,unrated,ascent,,7.7,7.2,6.8,1.2,"293,326"
5,Astra,unrated,ascent,,3.2,20.8,5.4,1.6,"31,592"
6,Brimstone,unrated,ascent,,6.3,25,5.3,1.9,"94,076"
7,Skye,unrated,ascent,,7.1,17.8,3.1,2.3,"74,470"
8,Omen,unrated,ascent,,6.5,23.2,5.8,1.6,"154,283"
9,Cypher,unrated,ascent,,16,12.5,20.1,2.1,"81,358"
10,Sova,unrated,ascent,,8.9,19.4,4.6,1.6,"164,519"
11,Viper,unrated,ascent,,6.5,11.8,9.4,1.2,"81,248"
12,Fade,unrated,ascent,,4,17.7,10.7,1.7,"118,885"
13,Phoenix,unrated,ascent,,10.1,7.1,3.4,2.5,"166,415"
14,Jett,unrated,ascent,,7.7,13.5,9.2,1.9,"279,445"
15,Breach,unrated,ascent,,13.4,13.7,6.3,1.7,"39,197"
16,Chamber,unrated,ascent,,3.7,7.4,9.1,1.8,"82,020"
17,Neon,unrated,ascent,,9.9,14.6,4.2,1.6,"118,235"
18,Harbor,unrated,ascent,,4.6,12,11.9,2.1,"28,187"
19,KAY/O,unrated,ascent,,11.2,18.5,6,1.7,"85,035"
20,Yoru,unrated,ascent,,10.7,14.6,9.2,2.3,"117,231"
1,Cypher,custom,fracture,,19.7,14.8,27.7,2.4,968
2,Skye,custom,fracture,,7.4,22.5,2.7,2.6,435
3,Raze,custom,fracture,,17.8,14.8,10.9,2.7,"1,306"
4,Chamber,custom,fracture,,4.5,6.8,11.9,2.1,402
5,Astra,custom,fracture,,2.5,25.1,6.5,1.9,280
6,Breach,custom,fracture,,18.6,22.3,7.8,2.3,"1,950"
7,Killjoy,custom,fracture,,12,7.1,20.1,2.4,"1,213"
8,Brimstone,custom,fracture,,6.6,37.2,9.3,2.6,"1,731"
9,Viper,custom,fracture,,9.5,14.6,10.7,1.7,589
10,KAY/O,custom,fracture,,12.7,21.7,7,2,720
11,Sage,custom,fracture,,9.6,7.4,9.5,1.4,858
12,Neon,custom,fracture,,15,16.1,6.7,2.1,861
13,Jett,custom,fracture,,7,18.1,10.9,2.5,"1,184"
14,Harbor,custom,fracture,,4.7,10.9,11.6,2,172
15,Reyna,custom,fracture,,12.2,4.6,13.5,1.5,"1,045"
16,Phoenix,custom,fracture,,10.7,6.3,3.4,2.9,427
17,Omen,custom,fracture,,7.3,25.5,5.9,1.5,392
18,Fade,custom,fracture,,5.4,20.6,16.6,2,896
19,Sova,custom,fracture,,7.2,15.9,4,1.2,299
20,Yoru,custom,fracture,,10.3,16.4,10.4,2.2,360
1,Skye,custom,bind,,9.4,24,2.8,2.8,"2,236"
2,Fade,custom,bind,,4.9,18.2,14.8,1.8,"1,676"
3,Reyna,custom,bind,,12.3,4.8,13.1,1.5,"3,481"
4,Cypher,custom,bind,,18.7,13.3,25.1,2.3,"1,830"
5,Brimstone,custom,bind,,6.7,31.8,7.1,2.4,"2,459"
6,Raze,custom,bind,,16.6,14.4,11.1,2.5,"3,743"
7,Jett,custom,bind,,7.9,16.5,10.1,2.5,"2,989"
8,Sage,custom,bind,,9.2,7,9.3,1.4,"3,060"
9,Astra,custom,bind,,2.8,23.8,5.9,1.6,789
10,Phoenix,custom,bind,,11.9,6.9,3.4,2.8,"1,560"
11,Killjoy,custom,bind,,11.2,6.9,18.9,1.8,"1,588"
12,Chamber,custom,bind,,4.5,8.6,11.4,2.1,"1,250"
13,Sova,custom,bind,,9.7,18.7,6.1,1.6,"1,466"
14,Omen,custom,bind,,7.1,27.5,7,1.7,"1,832"
15,Viper,custom,bind,,8.4,12.5,9.7,1.4,964
16,KAY/O,custom,bind,,10.5,18,6.2,1.8,"1,028"
17,Neon,custom,bind,,11.7,13.8,5.1,2.1,"1,198"
18,Yoru,custom,bind,,12.9,18.7,11,3,"1,572"
19,Breach,custom,bind,,11.9,13.6,5.3,1.7,814
20,Harbor,custom,bind,,4.3,8.9,10.7,2.3,372
1,Skye,custom,pearl,,10.5,26.5,3.7,3.9,559
2,Cypher,custom,pearl,,19,14,26.4,2.4,976
3,Killjoy,custom,pearl,,13.3,7.4,20.6,2.7,"1,088"
4,Astra,custom,pearl,,3.1,29.2,7.9,2.2,"1,329"
5,Jett,custom,pearl,,10.5,18.2,11.7,3.3,"1,814"
6,Sova,custom,pearl,,11.1,21.8,7.9,2,609
7,Reyna,custom,pearl,,13.1,5,14.3,1.6,"1,264"
8,Raze,custom,pearl,,21.5,13.8,10.3,3.4,"1,014"
9,Neon,custom,pearl,,13.3,15.2,7.3,2.7,632
10,Chamber,custom,pearl,,5.4,8,11.7,3.1,620
11,Yoru,custom,pearl,,13.5,17.7,11.9,3.4,611
12,Breach,custom,pearl,,14.4,15.8,6.6,2.8,379
13,KAY/O,custom,pearl,,13.8,23.2,7.5,1.9,"1,001"
14,Fade,custom,pearl,,6.7,23.1,19.2,2.1,"1,599"
15,Phoenix,custom,pearl,,13.5,7.9,4.1,3.1,848
16,Sage,custom,pearl,,10.5,7.2,9.7,1.5,"1,243"
17,Brimstone,custom,pearl,,6.1,27.8,6.5,2,445
18,Harbor,custom,pearl,,5.8,13.2,13.6,3.5,307
19,Viper,custom,pearl,,8.7,15.4,11.6,1.8,935
20,Omen,custom,pearl,,7.1,22.6,5.7,1.7,498
1,Killjoy,custom,haven,,14.3,7,19.8,2.3,"3,603"
2,Astra,custom,haven,,3,28.6,6.7,1.9,"1,388"
3,Breach,custom,haven,,18.3,21.5,7.7,2.2,"2,626"
4,Reyna,custom,haven,,12.5,5.1,13.6,1.6,"2,826"
5,Cypher,custom,haven,,20.2,13.5,26.3,2.3,"1,730"
6,Omen,custom,haven,,9.3,36,8.1,1.7,"4,110"
7,Sova,custom,haven,,11.3,23.4,7.9,1.8,"3,337"
8,Jett,custom,haven,,9.2,19.9,12.2,3.1,"5,136"
9,Skye,custom,haven,,9,24.6,3.3,2.9,"1,594"
10,Raze,custom,haven,,16.9,14,10.2,2.5,"2,150"
11,Neon,custom,haven,,11.5,14.1,5.2,2.2,"1,072"
12,Phoenix,custom,haven,,13.1,8.1,3.8,3.1,"1,534"
13,Viper,custom,haven,,6.8,10.7,7.8,1.3,503
14,Fade,custom,haven,,6,20,17.3,2,"1,918"
15,Sage,custom,haven,,8.9,7.2,9.3,1.4,"2,222"
16,Chamber,custom,haven,,5.1,9,12.1,2.4,"1,000"
17,Brimstone,custom,haven,,5.9,29.4,7,2.2,"1,349"
18,Yoru,custom,haven,,11.6,17.6,10.2,2.5,"1,011"
19,KAY/O,custom,haven,,11.9,20.9,6.6,1.9,"1,270"
20,Harbor,custom,haven,,4.4,9.2,11.4,1.9,278
1,Raze,custom,lotus,,16.2,13.8,9.8,2.5,"1,974"
2,Killjoy,custom,lotus,,11.8,6.9,18.6,2.4,"1,501"
3,Fade,custom,lotus,,5.3,18,14.9,2,"1,021"
4,Omen,custom,lotus,,8.4,27.3,6.9,2.1,"1,373"
5,Jett,custom,lotus,,9.5,16.7,9.6,3.2,"1,905"
6,Harbor,custom,lotus,,6.1,12.5,14.3,2.5,658
7,Reyna,custom,lotus,,11.9,4.8,12.9,1.6,"1,819"
8,Phoenix,custom,lotus,,10.2,5.8,3.3,2.5,901
9,Skye,custom,lotus,,8,20.8,3.1,2.7,965
10,Breach,custom,lotus,,17.1,20.4,6.7,2.3,"1,646"
11,Chamber,custom,lotus,,4.9,8.1,11.3,1.9,848
12,Astra,custom,lotus,,3.3,22.5,6.7,1.6,742
13,Cypher,custom,lotus,,18.1,13,22.3,2.5,858
14,Neon,custom,lotus,,11.9,13.5,4.6,2.3,"1,031"
15,Yoru,custom,lotus,,11.5,16,11.9,2.5,880
16,Sage,custom,lotus,,8.4,6.4,7.8,1.3,"1,427"
17,Sova,custom,lotus,,7.6,15.9,4.8,1.5,780
18,Viper,custom,lotus,,6.8,10.7,8.4,1.7,494
19,KAY/O,custom,lotus,,11.4,18.4,5.7,2.1,882
20,Brimstone,custom,lotus,,5.4,22.4,6,2,711
1,Killjoy,custom,icebox,,11.6,6.3,17.9,2.3,"2,885"
2,Jett,custom,icebox,,14.5,18.7,10,3.2,"4,717"
3,Viper,custom,icebox,,11.6,16.8,11.2,1.8,"4,458"
4,Reyna,custom,icebox,,12.8,5,12.1,1.6,"3,219"
5,Sova,custom,icebox,,11.7,25.3,9.2,1.8,"4,151"
6,Sage,custom,icebox,,10.9,8,10.3,1.7,"4,490"
7,Raze,custom,icebox,,21,12.9,8.4,3,"2,152"
8,Cypher,custom,icebox,,13.4,10.8,18.4,1.8,672
9,Chamber,custom,icebox,,5.6,8.1,10.4,2.2,"1,100"
10,Harbor,custom,icebox,,5.6,10,10.6,2.5,431
11,Neon,custom,icebox,,11.4,14.3,5.4,2.5,"1,148"
12,Phoenix,custom,icebox,,10.2,5.9,3.6,2.9,"1,022"
13,Yoru,custom,icebox,,11.7,16.2,10.3,2.9,"1,080"
14,KAY/O,custom,icebox,,11,21.8,6.3,2,"1,533"
15,Skye,custom,icebox,,6.2,15.9,2.3,2.4,811
16,Omen,custom,icebox,,5.9,21.5,9,1.7,"1,108"
17,Fade,custom,icebox,,4.2,17.2,11.4,1.9,875
18,Astra,custom,icebox,,3.2,12.6,5.6,1.4,290
19,Breach,custom,icebox,,11.2,11.2,5.2,2.1,502
20,Brimstone,custom,icebox,,5.3,20.3,5.2,2,672
1,Jett,custom,all,,10.6,17.2,9.7,3.2,"42,071"
2,Killjoy,custom,all,,10.8,6.2,17.4,2.1,"24,620"
3,Reyna,custom,all,,10.9,4.5,11.5,1.5,"30,656"
4,Raze,custom,all,,16.5,11.9,8.6,2.4,"25,640"
5,Sage,custom,all,,8.3,6.1,8.1,1.3,"28,109"
6,Cypher,custom,all,,15,10.7,19.1,1.8,"15,742"
7,Sova,custom,all,,9.2,18.5,6.4,1.5,"24,402"
8,Skye,custom,all,,6.6,17.4,2.3,2.2,"15,096"
9,Omen,custom,all,,7.4,26.7,6.1,1.5,"22,348"
10,Viper,custom,all,,7.5,11.3,8.1,1.3,"15,407"
11,Astra,custom,all,,2.4,19.9,5.2,1.4,"11,692"
12,Fade,custom,all,,4.4,15.3,12.1,1.5,"15,992"
13,Breach,custom,all,,12.8,14.5,5.5,1.8,"14,334"
14,Neon,custom,all,,9.6,11,4.3,1.8,"14,305"
15,KAY/O,custom,all,,10.3,17.3,5.7,1.6,"17,084"
16,Phoenix,custom,all,,9,5.3,2.8,2.2,"16,356"
17,Chamber,custom,all,,4.1,6.1,8,1.8,"12,833"
18,Yoru,custom,all,,9.8,12.9,8.4,2.3,"13,877"
19,Brimstone,custom,all,,4.8,21.1,5.2,1.7,"15,887"
20,Harbor,custom,all,,3.3,6.3,6.9,1.5,"6,301"
1,Cypher,custom,split,,21.4,14.1,24.5,2.4,"1,745"
2,Raze,custom,split,,17.8,14.9,11.2,2.6,"3,337"
3,Reyna,custom,split,,12.1,4.7,13.3,1.5,"2,417"
4,Killjoy,custom,split,,12.1,7.2,20.2,2.3,"1,911"
5,Astra,custom,split,,3.1,28.3,7.5,1.9,"1,356"
6,Skye,custom,split,,9.1,25.6,3,2.6,"1,797"
7,Sage,custom,split,,12.3,7.9,11.4,1.5,"3,657"
8,Fade,custom,split,,5.1,18.9,15.4,1.8,"1,143"
9,Chamber,custom,split,,5,6.9,10.9,2.2,769
