Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
26,44,33,3,0,78.78,3,caught,2,v England,Mohali,
0,1,1,0,0,0,3,caught,1,v England,Dharamsala,
43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,
11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,
102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,
115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,
14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,
68*,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,
61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,
100*,82,52,8,7,192.3,3,not out,2,v Australia,Jaipur,
68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,
115*,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,
0,4,3,0,0,0,3,run out,1,v Australia,Bengaluru,
86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,
99,159,100,9,0,99,3,caught,1,v West Indies,Visakhapatnam,
19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,
31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,
0,7,5,0,0,0,3,caught,2,v South Africa,Durban,
123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,
78,88,65,7,2,120,3,caught,2,v New Zealand,Hamilton,
2,14,10,0,0,20,2,caught,1,v New Zealand,Hamilton,
82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,
136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,
0,1,3,0,0,0,3,caught,1,v England,Cardiff,
40,67,50,2,1,80,3,caught,2,v England,Nottingham,
1*,9,3,0,0,33.33,3,not out,2,v England,Birmingham,
13,25,21,2,0,61.9,3,caught,2,v England,Leeds,
2,7,5,0,0,40,3,caught,2,v West Indies,Kochi,
62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,
127,164,114,13,3,111.4,3,run out,1,v West Indies,Dharamsala,
22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,
49,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,
53,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),
66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Kolkata,
139*,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,
9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,
1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,
1,9,4,0,0,25,3,caught,2,v Bangladesh,Dhaka,
23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Dhaka,
25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Dhaka,
11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,
12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,
77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,
138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,
7,11,6,0,1,116.66,3,caught,2,v South Africa,Mumbai,
91,148,97,9,1,93.81,3,caught,1,v Australia,Perth,
59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,
117,174,117,7,2,100,3,caught,1,v Australia,Melbourne,
106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,
8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,
85*,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,
9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,
154*,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,
45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,
65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,
122,147,105,8,5,116.19,3,caught,2,v England,Pune,
8,6,5,2,0,160,3,caught,1,v England,Cuttack,
55,81,63,8,0,87.3,3,caught,2,v England,Kolkata,
