Country of Nationality,2014 Delhi (Airport), 2014 Mumbai (Airport), 2014 Chennai (Airport),2014 Calicut (Airport),2014 Benguluru (Airport),2014 Kolkata (Airport),2014 Hyderabad (Airport),2014 Cochin (Airport) ,2015 Delhi (Airport), 2015 Mumbai (Airport), 2015 Chennai (Airport),2015 Calicut (Airport),2015 Benguluru (Airport),2015 Kolkata (Airport),2015 Hyderabad (Airport),2015 Cochin (Airport),2016 Delhi (Airport), 2016 Mumbai (Airport), 2016 Chennai (Airport),2016 Calicut (Airport),2016 Benguluru (Airport),2016 Kolkata (Airport),2016 Hyderabad (Airport),2016 Cochin (Airport),2017 Delhi (Airport), 2017 Mumbai (Airport), 2017 Chennai (Airport),2017 Calicut (Airport),2017 Benguluru (Airport),2017 Kolkata (Airport),2017 Hyderabad (Airport),2017 Cochin (Airport),2018 Delhi (Airport), 2018 Mumbai (Airport), 2018 Chennai (Airport),2018 Calicut (Airport),2018 Benguluru (Airport),2018 Kolkata (Airport),2018 Hyderabad (Airport),2018 Cochin (Airport),2019 Delhi (Airport), 2019 Mumbai (Airport), 2019 Chennai (Airport),2019 Calicut (Airport),2019 Benguluru (Airport),2019 Kolkata (Airport),2019 Hyderabad (Airport),2019 Cochin (Airport),2020 Delhi (Airport), 2020 Mumbai (Airport), 2020 Chennai (Airport),2020 Calicut (Airport),2020 Benguluru (Airport),2020 Kolkata (Airport),2020 Hyderabad (Airport),2020 Cochin (Airport)
Germany,21.5,2.2,9,40.2,11.8,1.2,14.1,0,21.9,2.1,8.7,38.1,12.3,1.4,15.5,0,37.3,20.5,8.3,0,11.9,1.9,1.4,4,39.5,21,8.2,0,12,1.9,1.4,19.7,40.9,22.7,8,0,12.1,1.7,1.5,3.8,34,30.8,6.9,0.4,15.6,2.1,3.1,2.7,41.7,22.7,5.7,0.4,18,1.7,3.4,3.4
Greece,21.4,2.9,6.5,36.3,7.3,4.1,21.5,0,22.6,3.3,6.2,35.6,8.1,3.5,20.7,0,39.1,20.2,6.8,0,7.9,3.4,3.5,4.4,37.5,16.4,7.2,0,7.5,2.7,4.6,3.1,43.2,16.3,6.8,0,7.5,2.9,4.5,6.6,56.3,24.9,2.2,0.1,6.5,3.1,2.5,1.5,71.4,15.3,2.1,0.1,3.3,2.9,2.9,0.7
Ireland,20.5,4.1,7.3,28.1,9.9,4.5,25.6,0,17.9,4.3,7,26.7,10.1,4.9,29.1,0,28.5,16.7,6.9,0,9.8,4.1,4.9,18.6,28.4,15.9,6.8,0,9.5,4.2,4.5,1.7,28.7,15.2,6.8,0,10.2,3.9,4.7,18.8,25.9,20.1,8.7,1.1,13.5,2.1,6.7,18.3,33.2,22.4,5.6,0.5,19.4,0.9,3.9,12.5
Italy,19.7,2.8,9.3,48.7,6.5,1.5,11.5,0,18.2,3.2,9.3,47.3,7.1,1.5,13.4,0,46.8,17.6,8.3,0.1,6.4,2.9,1.8,3.1,49,16.8,6.9,0.1,5.9,2.4,1.6,2,52.7,15.4,6.1,0,5.6,2.2,1.3,2.6,59.5,13.5,3,0.2,4.6,2.1,1.7,5.6,69.6,8,1.4,0.1,4.1,0.6,0.6,4.3
Netherlands,25.1,1.9,5.7,49.7,9.5,2.2,5.9,0,23.7,2.1,5.8,49.2,10.2,2.4,6.6,0,49.2,23.8,5.9,0,9.4,2,2.4,1.7,48.8,25.1,5.3,0,9.3,1.7,2.3,0.8,46.7,26.6,4.7,0,11.5,1.7,2.2,1.5,32.1,30.3,7,0.2,19.7,2.8,3.4,1.4,37.1,27.1,7.1,0.2,19.5,2.2,3.6,1.4
Norway,17.5,1.1,6.8,58,5.2,1.6,9.8,0,18.5,2.1,7.5,55.1,5.7,2.3,8.8,0,56.4,17.3,6.6,0,5.3,1.9,1.9,1.9,56.4,17.9,6.9,0,5.1,1.5,1.9,2.3,59.5,16,5.7,0,4.7,1.7,1.3,2.1,44.7,26.7,7.4,0.3,8.7,3,2.6,2.2,48,25.5,5.5,0.2,11,3.2,2.3,2.2
Portugal,47,0.6,2.2,21.8,2,0.7,25.7,0,48.6,0.5,2,18.3,2.3,0.7,27.6,0,16.1,47.6,1.9,0,2.2,0.7,0.6,0.7,14.7,46.5,1.6,0,1.8,0.5,0.6,3.3,14.8,44.5,1.6,0,2.2,0.6,0.6,0.9,54.4,26.8,3.2,0,7.9,1.4,2.3,0.9,82.5,10,1.1,0,3.3,0.4,0.8,0.5
Spain,20.7,2.5,5.4,55.7,5.8,1.4,8.5,0,20.5,2.5,5.5,55.4,6.6,1.5,8,0,57.9,19.1,5.8,0,5.8,2.1,1.3,2.3,60.6,16.4,5.5,0,5.9,2,1.4,7.5,61.1,15.9,5.3,0,5.8,2,1.3,2.5,49.9,26.3,3.6,0.1,7.2,2.3,2.4,2.1,68.5,16.6,2,0.1,5.6,0.9,1.3,1.8
Sweden,23.3,2.1,5.4,37.8,10.4,1.7,19.3,0,22.2,2.2,5.5,39.1,11.4,2,17.6,0,39.4,22.l,5.7,0.1,11.1,2.1,2.2,3.4,43.4,18.6,5,0.1,11.4,2,2.1,5.7,47.6,15.9,4.6,0,10.1,2.1,1.8,3.2,55.1,14.1,8.2,0.2,12.6,2.5,3,1.4,51,14.4,7.5,0.4,18,2.3,2.9,1.4
Switzerland,26.9,1.9,7.9,40.7,6.5,1.4,14.7,0,26.4,2.1,7.1,40.7,6.6,1.4,15.7,0,39.6,25,7.2,0,6.5,1.8,1.5,6.9,40.1,24.5,7.6,0,6.4,1.7,1.4,3.2,40,24.1,7.8,0,6.6,1.9,1.5,8.1,36,35.4,4.7,0.2,9.6,2.7,4,3.2,41.4,28.4,4.3,0.2,12.4,2.8,4.7,4.2
United Kingdom,29.6,2,5.4,29.8,5.6,2.5,25.1,0,28.4,2.1,5.4,30.4,5.8,2.8,25.1,0,30.7,27.1,5.7,0,5.7,2,3,5.1,29.8,26.3,5.6,0,5.7,2,3.2,4.2,29.3,27.1,5.6,0,5.9,1.8,3.2,5.8,31.3,25.5,7.6,0.6,10.5,3.3,5.8,4,33.8,20.6,5.9,0.6,8.8,2.4,7.1,6.8
Czech Rep.,22.8,3.5,6.6,48.3,6.3,1.4,11.1,0,22.6,3,7,47.4,6.2,1.6,12.2,0,44.3,18.5,7.5,0,5.9,3.4,4.8,2.5,45.4,21.3,7.5,0,7.2,3.1,2,0.8,50.8,18.6,7.1,0.1,7,2.5,1.5,3.3,30.4,30,5.1,1.1,7.6,1.1,10.1,3.7,47.8,19.4,4.5,0.6,10.6,2.8,4.7,7.2
Hungary,,,,,,,,0,,,,,,,,0,44.8,20.2,8.9,0,9.6,2,2.6,3.2,45.4,20.6,7.3,0,9.2,2.3,1.7,3.2,48.6,18.4,6.6,0,10.4,2.2,2.1,3.1,41.6,28.6,4.5,0.3,11.3,2,4.3,2.1,56.3,18.5,4.9,0.9,10,1.1,2.4,5
Kazakhstan,1.2,0.2,1.3,49.6,0.7,0.2,46.8,0,28.7,2.9,6.2,39.8,7.7,1.8,12.9,0,49.1,2,1.2,0,1,0.2,0.3,1.4,51.7,1.5,0.8,0,1.1,0.2,0.2,0.8,55,1.7,0.7,0,1.1,0.4,0.3,0.8,42.3,32.4,5.3,0.2,8.7,2.7,2.2,1.4,93.9,1.4,0.5,0.3,0.4,0.2,0.4,1.9
Poland,26.2,2.7,5.4,43.5,6.5,1.5,14.2,0,4.1,0.8,1.5,27,1.8,0.6,64.2,0,44.3,24,6.4,0,8.1,2.6,2.3,3,46.4,21.8,6.1,0,7.5,2.2,2,4.1,51.4,18.4,5.9,0.1,8.2,2.1,1.6,3,83.8,5.7,1.9,0.5,0.8,0.3,0.9,2.1,60.7,18.7,4.7,0.2,9.7,0.8,1.6,1
Russian Federation,2.8,0.5,1.6,18,1.3,0.4,75.4,0,13.9,1.4,3.2,31.2,2.8,1.1,46.4,0,22.8,3.1,I.I,0,1.3,0.5,0.4,0.9,22.2,2.3,0.9,0,1.1,0.4,0.3,10.9,25,2.6,1.1,0,1.3,0.5,0.4,0.8,44.6,26.6,7.1,0.4,11.8,1.3,3.1,1.8,79.9,7.6,2.6,0.2,1.6,1.3,1.1,1.3
Ukraine,10.3,1.1,3.7,25,2.6,0.8,56.5,0,2,0.2,1.4,50.1,1.1,0.2,45,0,27.6,12.8,3.1,0,3.2,I.I,1.5,2.6,29.7,13.6,4,0,3.2,1.3,2.1,1,39.8,14.9,5,0,4,2.4,1.5,4.3,70,13.6,3.5,0.4,3.5,2,1.9,1.8,71.6,5.9,4.7,0.9,1,0.3,1.6,1.4
Egypt,38,2.6,6.7,22.2,5,6.1,19.4,0,34.9,3,7.9,20.7,5.5,5.3,22.7,0,22,32.5,7.4,0,6.1,2.7,6.2,10.4,21.1,31.1,8.3,0,6.6,2.6,5.6,0.4,20.9,32.3,8.7,0,7.1,2.5,6.2,8.9,65.1,10.2,4.5,1.3,2.1,0.2,3.9,4.2,22.6,55.1,6.2,0.4,5.1,1.6,3.2,1.8
Kenya,58.2,0.6,2.4,15,2.1,1.6,20.1,0,55.3,0.7,2.7,13.3,2.5,2.8,22.7,0,14.6,52.4,2.8,0,2.9,0.7,3.4,0.9,14.2,56.1,2.4,0,2.8,0.6,3,0.7,13.3,60.4,2.4,0,2.6,0.5,3,1,16.2,52.2,8.2,0.7,8.4,3.2,4.2,2.8,13.4,56.1,3,0.3,2.7,0.6,3.3,2
Mauritius,46.9,0.7,8.2,33.2,8.5,0.5,2,0,48.9,0.5,0.8,31.8,8.9,0.3,1.6,0,31.2,47.3,9.3,0,9.1,0.6,0.4,0.3,29.3,44.8,14.7,0,8.3,0.4,0.3,3.9,29.5,47.7,14.3,0,6.3,0.4,0.2,0.3,12.2,60.5,3.3,0.4,3.7,0.9,3.1,1.9,31.7,52.3,8.5,0,6,0.4,0.5,0.2
Nigeria,34.2,0.3,7.8,43,9.5,2.7,2.5,0,30.9,0.5,6.2,46.5,10.1,2.8,3,0,51,29.5,4.9,0,8.6,0.5,2.6,0.8,51.6,28.6,4.9,0,7.6,0.9,3,3,55.4,25.9,4.6,0,7.5,0.6,2.4,0.9,26.2,52.5,12,0,7.9,0.7,0.3,0.2,44.5,38.6,3.2,0.2,5.7,1.7,2.1,1.8
South Africa,61.1,1.6,4.7,20.2,4.5,1.8,6.1,0,50.1,1.8,5.6,23.6,6.8,2.6,9.5,0,24.7,49.1,5.6,0.1,6.5,2.1,2.1,3.2,24.3,49.2,5.6,0,6.5,1.9,2.4,0.7,27.8,44.8,6.2,0,8.1,1.8,2,4.1,32.3,44.4,5.5,0.3,4.4,2.7,3.6,2.6,16.6,58.9,3.8,0.2,5.1,1.7,5,4.3
Sudan,34.3,0.5,13.5,12.1,15.4,16.6,7.6,0,33,0.4,14.2,13.8,13.8,18.2,6.6,0,13.8,34.4,15.2,0,11.5,0.3,18.8,2.2,15.3,36.9,12.9,0,11.7,0.2,17,13.8,13.3,55.2,8.1,0,8,0.2,12,1.3,14.1,66,3.4,0.1,4.3,1.5,3.5,3.3,42.7,27.7,5.9,1.1,3.3,1.4,6,2.8
Tanzania,49.8,0.3,7.1,14.1,10.1,5.2,13.4,0,48.5,0.3,7.5,15.6,10.3,5.6,12.2,0,14.5,49.4,5.8,0,8.9,0.3,5.4,0.6,17,49.5,6.6,0.1,7.4,0.4,5,0.3,16,54.3,6.3,0,6.1,0.3,3.7,0.6,27.3,37.5,6.8,1.4,2,1.7,9,3.9,8.7,76.9,2.2,0.2,2.2,0.5,3.9,1.8
Bahrain,33.4,0.7,8.8,11.2,6,12.4,27.5,0,31.3,0.3,8.6,8.6,7.7,16.6,26.9,0,8.1,29.5,10.8,0,6.5,0.3,17.7,14.4,7.2,27.4,11.8,0,6.7,0.4,20.3,0.7,8.7,26.9,12.7,0,6.7,0.5,17.8,12.7,13.2,59.1,4.7,0.5,3.3,1.1,6.5,3.3,15.8,11.6,6.9,15.2,3,0.9,7.5,19.2
Iraq,13.1,0.1,3.2,68.4,7.5,6.6,1.1,0,13.3,0.1,2.6,69.4,8.1,5.3,1.2,0,73.1,11.7,2.2,0,8.1,0.1,3.5,0.3,73.5,10.3,1.9,0,8.5,0.2,2.5,,79.6,9.2,1.4,0,6.5,0.1,1.8,0.2,11.9,64,2.4,1.4,2.3,0.5,5.6,1.7,34.3,25.6,8.1,1.3,1.7,1.6,6.3,3.8
Israel,57.8,0.6,1.4,29.7,2.7,0.2,7.6,0,59.9,1.1,1.6,28.9,3.6,0.3,5.5,0,34.1,52.1,2.4,0,3.3,1.2,0.4,0.5,38.1,49.4,1.6,0,3.9,0.9,0.4,,48.4,40.4,2,0,3,0.7,0.3,0.5,13.9,12,7,14.3,3.4,1.2,7,18.7,63.6,24,0.9,1,0.8,1.1,1.1,5.6
Oman,36.7,0,15.6,4.6,0.3,11.5,31.3,0,32.8,0.1,12.7,4.7,5.6,10,34.1,0,5.1,29.9,10.1,0,6.4,0.1,10.9,23.6,4.9,25.7,8.5,0,6.1,0,8.7,1.8,4.8,29,8,0,6.3,0.1,8.8,29.3,17.7,33.5,5.5,1.1,3.1,1.7,7.2,2.9,9.9,16.8,9.1,11.2,2.1,0.5,6.6,12.9
Saudi Arabia,24.1,0.2,3.8,13.8,10.1,6.3,41.7,0,22.4,0.2,3.4,11.6,15.5,5.3,41.6,0,11.7,22,3.2,0,12.1,0.2,5.5,32.3,12.2,21,4.2,0,13.7,0.3,7.6,,15.8,19.5,3.4,0,14.3,0.3,9.2,21.9,58.5,26.6,2.5,1.4,1.7,1.8,1,3.8,21,20.5,4.7,12.9,3.2,1.7,10.2,16.8
Turkey,36.9,0.6,3.2,47.2,2.2,1.6,8.3,0,39.4,1.1,2.7,45.4,2.9,1.1,7.4,0,46.8,35.9,2.5,0,3.1,0.9,2,I.I,43.2,32.2,2.7,0,2.9,0.8,2.1,,42.9,31.6,2.3,0,3.5,0.8,3.1,1,19.4,25.5,8.4,2.3,6.4,1.2,4.6,23,53.5,37.6,1.7,0.1,3.2,0.9,1,14.2
United Arab Emirates,41.5,0.3,1.7,3.9,12.2,24.8,15.6,0,39,0.4,1.6,3.9,12.3,26.6,16.2,0,3.9,40.7,1.5,0,13.9,0.2,23.5,8.3,4.5,39.8,1.9,0,11.4,0.3,24.4,0,4.4,42.9,2,0,9.6,0.4,26.2,5.8,10.6,14.4,18.1,4.5,2.8,1,6.8,17.4,14.9,15.1,6.1,11.3,3.3,1.3,6.3,11.3
Yemen,63.1,0.4,1.6,7.6,13.5,9.8,4,0,49.5,0.5,1.9,8.1,18.9,13.6,7.5,0,7.6,50.9,1.9,0,16.8,0.3,15.2,2.6,8.6,56.6,2.1,0,14.8,0.2,11.6,0,7.9,59.1,1.7,0,12.8,0.2,12.5,2.2,8.2,18.4,9.2,11,2.9,0.8,5.6,13.5,28.6,22.9,7.4,6.3,5.2,0.9,7.6,12.9
Afghanistan,0.4,0.1,0,99,0.1,0.1,0.3,0,0,0.2,0.2,98.7,0.4,0.1,0.4,0,98.9,0.4,0,0,0.2,0.1,0.1,0,99,0.4,0,0,0.1,0.1,0.1,0,98.6,0.6,0.1,0.1,0.1,0.2,0,0,72.9,5.4,3,1.2,1,3.1,2.2,2.3,85.8,1.8,1.4,0.7,0.4,2,0.9,1
Bangladesh,34.8,0.6,1.4,38.3,13.5,2.5,8.9,0,32.5,0.8,1.2,34.4,16.1,2.3,12.7,0,1.2,0.6,0.6,54.7,0,11.9,0,0,1,0.4,0.4,54.3,0,12.4,0,1.2,0.8,0.3,0.4,45.9,0.1,15.4,0,0,4.9,1.7,0.5,0,0.1,22.3,0,0,8.7,2.4,0.8,0,0,17.4,0.1,0
Bhutan,1.4,0,4.9,1.4,15.3,0,77,0,0.7,0.1,4.4,1.4,17.9,0,75.5,0,57.2,0.6,0.6,0,0.3,23.7,0.1,0.1,53.6,1,1,0,0.4,21.6,0,13.2,54.2,1.3,0.6,0,0.4,21,0.1,0.1,46.2,6.1,0,0,0,38.8,0,0,46.3,0.2,0,0.1,0.1,38.1,0,0
Iran,8.8,4.3,0.9,74.7,0.6,0.2,10.5,0,9.4,4.5,0.9,74.7,3.7,0.3,6.5,0,43.8,25.4,1.6,0,13.3,0.5,2.2,0.9,44.3,21.6,1.3,0,10.8,0.6,2.4,0.3,44.8,33,1.7,0,10,0.5,2.6,0.9,37.8,43.2,1,0.1,3.1,0.8,2.7,0.6,52.8,39.2,0.6,0.2,1.5,0.4,1.9,0.6
Maldives,8.6,0,0.5,5.8,0,0,85.1,0,5.8,0.1,0.3,3.8,0,0,90,0,2.1,0.8,5.1,0,17.5,0.1,0,II.I,2.5,0.8,4.5,0,16.7,0.1,0.1,0,2.6,1.2,4.4,0,15.7,0.1,0.2,17.3,12.3,22.2,5.5,0,20.3,0.3,0.6,25.4,15.1,28.3,4.3,0,17.6,1,0.7,17.2
Nepal,0.7,10.8,0.8,1.9,0,0,85.8,0,0.6,11.7,0.9,1.4,0,0,85.4,0,68.4,10.5,0.8,0.2,9.1,4.5,0.3,0.4,70.1,11.9,0.7,0.1,7.7,4.1,0.4,2,68.5,11.6,0.6,0.1,7.6,3.5,0.4,0.3,79.7,6.8,0.4,0,4.2,7.4,0,0.1,85.5,4.6,0.3,0,2.8,5.7,0,0.1
Pakistan,9.3,0.1,43.8,6.1,10.6,0.1,30,0,10.5,0.7,47.3,7.7,5.2,0.1,28.5,0,4.1,4.6,0.3,0,0,0.3,0,0.1,5,6.3,0.4,0,0,0,0,2.1,3.8,8.5,0.4,0,0,0,0,0,1.9,3.4,0.2,0.1,0.2,0.1,0.2,0,2.6,4.8,0.4,0.1,0.1,0,0.1,0.1
Sri Lanka,3,26.3,0.9,47,0.2,0,22.6,0,1.5,27.8,0.4,51.1,0.3,0,18.9,0,12.1,10.3,50.8,0.1,4.8,1.6,0.1,2,11.7,9,43.2,0,6.8,1,0.4,8.3,11.7,7.5,46.1,0,5.3,0.5,0.6,1.3,13.7,11.9,43.1,0,16.8,1.2,3.5,1.4,17.7,14.9,37.9,0,15.9,1.2,3.6,1.3
Indonesia,25.7,5.2,8.6,34.3,9,4,13.2,0,28.5,6.3,7.5,33.5,8.8,4.3,11.1,0,35.5,26.7,7.9,0.1,8.2,3,4.2,3.2,39.7,25.7,6.8,0.1,8.3,3.8,3.4,0.3,39.4,22,6.8,0,9.4,3.7,2.9,2,20.5,17.8,14.3,0,14.5,12,5,6.4,28.2,19.8,9.3,0.1,10.3,8.1,6.7,4.5
Malaysia,10.1,2,25.3,15.1,6.5,2.3,38.7,0,10.4,1.9,22.4,14.4,6.2,3,41.7,0,14.5,9.4,21.3,0,5.9,1.7,2.8,9.2,15.2,8.5,21.5,0,5.9,1.7,2.3,8.9,17.2,8.4,24.8,0,5.7,1.6,2.3,6,24.8,22.3,9.5,0,11.7,7.9,6.8,5.2,12.5,6,22.5,0,9.6,6.5,4.3,8.3
Myanmar,2.4,7.4,4.6,5.2,0.5,0.4,79.5,0,2.8,5,5.1,5.5,0.6,0.5,80.5,0,7.4,3.4,5.6,0,0.8,5.9,0.7,0.3,6.7,2.8,5.9,0,0.6,6.2,0.9,3.3,6.5,2.5,4.9,0,0.5,6.8,0.6,0.3,13.2,7.2,17.5,0,10.5,6,4.9,11,9.1,2.2,2.4,0,1.3,71.4,1.1,0.7
Philippines,22,3.2,10.7,19.3,6.8,5,33,0,22,3.3,9.1,16,7,5.6,37,0,17.4,20.2,8,0,6.2,3.1,5.8,8.5,17.5,18.5,8,0,7.1,3.4,5.6,1,20.7,19.8,9.1,0,9.2,8.7,6,8.9,14.4,9.4,9.2,0,5,49.5,1.8,1.6,31.9,15.6,13.2,0,6.6,4,7.5,2.5
Singapore,20.4,2.2,28,21.9,7.3,2.2,18,0,20.9,2.6,25.2,20.7,7.8,2.5,20.3,0,19.3,20.5,24.3,0,7.6,2.4,2.4,3.3,18.4,20,24.7,0,7.8,2.1,2.5,I.I,19.7,19.3,23.6,0,9,2.3,2.4,2.6,27.8,17,12.3,0,8.9,4.4,7.2,3.2,14.5,13.3,21,0,9.2,5.4,3.7,2.6
Thailand,10.1,20.8,3.6,27.8,4.6,0.8,32.3,0,12,21.6,3.8,23.9,5.2,1.1,32.4,0,28.3,13,4.5,0,5.3,24,1.3,0.7,26.7,10.9,3.7,0,4.7,20.3,1.2,0.7,25.1,9.6,3.2,0,4,15.2,1.2,0.8,14.8,14.7,20.2,0,10.7,5.7,4.5,3.4,28.6,21.1,8.4,0,11,16.1,2.7,1.8
Vietnam,11.3,13.3,4.1,24.2,6,2.2,38.9,0,13.7,7.8,4.4,31.9,7.1,2.3,32.8,0,40.9,12.2,3.9,0,6.7,6.9,2.4,1.2,34.6,IO.I,3,0,5.7,6.1,2.1,0.9,31.3,8.8,3.3,0,5.3,7.5,1.7,1,27.2,19.3,7.8,0,12.7,16.5,3.3,2.4,30.5,8.5,5,0,5.6,42,2,1.8
China,17.8,6.7,7.7,51.5,8.4,2.7,5.2,0,18.8,6.4,7.7,52.1,7.8,2.4,4.8,0,54.9,18.4,6.6,0,7.3,6.5,2.4,0.5,53.1,18.9,6.8,0,7.8,6.3,2.7,0.9,53.8,18.7,6.9,0,8.1,5.6,2.6,0.6,19.7,19.3,9,0,13.5,23,4.8,4.2,43.6,19.7,6.6,0,7.1,14.2,3.5,1.7
Japan,12.2,3.2,8.6,52.1,9.2,1.8,12.9,0,14.9,3.6,8.6,52.9,10,1.8,8.2,0,57.4,16,9.4,0,9.6,2.6,1.3,0.7,58.1,17.3,8.4,0,8.7,2.4,1.2,0.9,57.8,17.6,8.2,0,8.3,2.4,1.5,0.8,37.7,22.9,7.7,0,7.8,11.6,3.9,3.5,48.5,26.7,8.8,0,6.8,2.9,1.9,1.5
Korea (Republic Of ,12.9,3,9,61.8,8.6,1.2,3.5,0,13.3,2.7,9.6,58.7,9.7,1.6,4.4,0,47.8,19.8,16,0,6,3.7,1.7,I.I,58.7,14.4,13.3,0,4.8,2.5,1.4,8,54.8,13.7,13.9,0,7.7,1.9,1.7,0.7,39.4,27.5,9.8,0,11.7,3.8,3.1,1.6,53.4,21.8,6,0.1,7.5,3.5,2,1.4
