Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,,,,296.0,604.0,66.0,84.0,39.0,44.0,50.0,50.0,494.0,19.0,2.0,4.0,3.0,4.0,3.0,17.0,3.0,12.0,21.0,45.0,27.0,65.61,179.34,470.99,582.56,775.88,465.32,50.36,19.45
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,10.0,2.0,2.0,0.0,39.0,0.0,0.0,5.0,0.89,,5.09,0.17,0.07,0.05,17.86,16.34
Burundi,3920.0,5143.0,5696.0,5281.0,6605.0,6678.0,3939.0,6330.0,6071.75,1639.0,3482.32,8706.0,638.0,792.0,753.0,746.0,5974.0,2437.0,6149.0,6454.0,7769.0,3721.0,9730.0,10062.0,10443.86,10032.07,10653.67,9576.75,10494.82,10086.23,9121.56,11388.45
Cabo Verde,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,,,,,,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.33,0.02,0.19,0.09,0.67,0.04,0.02
Cameroon,3262.0,45.0,0.0,129.0,0.0,253.0,76.0,0.0,0.05,2.0,0.0,0.0,0.0,1.0,0.0,113.0,18.0,0.0,19.0,2.0,1.0,1.0,0.0,0.0,15.15,21.42,21.43,10.6,5.39,89.42,20.49,4.85
Canada,367.0,551.0,571.0,496.0,437.0,432.0,518.0,517.0,657.0,719.0,1335.07,1120.0,1211.0,2001.0,2742.0,3171.0,3482.0,3799.0,3247.0,3007.0,2366.0,2227.0,2517.0,2326.0,2043.12,2265.36,2442.29,3004.76,2680.95,3247.9,3018.11,1858.1
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,115.0,127.0,31.0,41.0,41.0,78.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,9.11,2.14,8.94,31.38,36.05,,,0.0
Chile,179.0,228.0,219.0,217.0,345.0,383.0,383.0,522.0,308.0,262.42,292.89,1172.0,830.0,779.0,660.0,764.0,787.0,777.0,504.0,492.0,421.0,348.0,364.0,276.0,329.83,251.62,315.91,340.33,339.58,294.98,234.45,1003.56
China,211099.0,205798.0,201303.0,223768.0,201341.0,183312.0,184942.0,215180.0,227270.0,209496.0,237960.27,258594.0,258882.0,266046.0,285443.0,291054.0,290743.0,294329.0,302020.0,307434.0,307777.0,327650.0,319357.0,332172.0,307480.34,331750.97,336618.46,367549.95,380859.86,385783.38,361799.3,384097.31
"China, Hong Kong SAR",9169.0,14483.0,19741.0,16734.0,17161.0,13464.0,11674.0,9654.0,7829.0,6566.0,6994.19,6165.0,3799.0,3180.0,2618.0,2055.0,1863.0,1859.0,1959.0,1785.0,2295.0,2255.0,2455.0,2167.0,2172.01,1834.86,2160.9,4449.57,7136.95,8673.5,4966.01,5583.67
"China, Macao SAR",718.0,1127.0,728.0,375.0,109.0,60.0,123.0,145.0,116.0,249.0,269.9,225.0,208.0,203.0,182.0,185.0,255.0,271.0,272.0,297.0,325.0,0.0,275.0,280.0,86.82,220.6,,188.65,110.88,,,190.89
"China, Taiwan Province of",5741.0,5316.0,5296.0,5224.0,4403.0,3216.0,3475.0,2918.0,2501.0,3073.0,3034.58,2559.0,2603.0,2749.0,2450.0,2251.0,2031.0,2583.0,2843.0,2400.0,2632.0,2815.0,3143.0,3919.0,3737.33,4744.47,5758.26,7653.47,8796.91,10303.86,8018.54,8968.78
"China, mainland",195471.0,184872.0,175538.0,201435.0,179668.0,166572.0,169670.0,202463.0,216824.0,199608.0,227661.6,249645.0,252272.0,259914.0,280193.0,286563.0,286594.0,289616.0,296946.0,302952.0,302525.0,322580.0,313484.0,325806.0,301484.18,324951.04,328699.3,355258.26,364815.11,366806.03,348814.75,369353.98
Colombia,0.0,97.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,21.0,23.0,11.0,11.0,4.0,9.0,150.0,82.0,45.0,30.0,31.0,83.0,96.71,80.45,108.79,118.91,156.98,195.42,177.53,184.91
Comoros,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.67,,
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,30.0,12.0,0.0,0.0,3.0,12.0,0.0,167.0,0.0,0.0,90.0,72.0,20.0,0.23,,0.04,,0.05,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.07,,0.0,
Costa Rica,0.0,2.0,18.0,137.0,1.0,1.0,3.0,3.0,2.0,0.06,1.02,7.0,79.0,54.0,43.0,50.0,38.0,44.0,96.0,69.0,73.0,91.0,131.0,112.0,74.61,89.61,83.28,89.23,84.5,63.6,198.5,79.33
Croatia,,,48.0,39.0,81.0,55.0,69.0,21.0,23.0,24.0,8.0,8.0,12.0,17.0,17.0,14.0,18.0,21.0,21.0,45.0,45.0,30.0,38.0,46.0,41.66,41.99,34.53,37.26,32.8,40.15,37.57,46.29
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.01,,0.01,0.03,,1.06
Cyprus,1.0,1.0,5.0,31.0,32.0,9.0,63.0,145.0,24.0,37.0,0.14,0.0,0.0,2.0,1.0,1.0,0.0,16.0,4.0,0.0,1.0,2.0,0.0,1.0,0.04,0.16,0.22,1.28,2.36,0.58,3.97,0.54
Czechia,,,,431.0,509.0,166.0,155.0,221.0,266.0,249.0,211.96,239.0,180.0,155.0,156.0,174.0,246.0,291.0,653.0,271.0,376.0,603.0,467.0,722.0,908.8,729.18,1006.83,503.58,351.38,408.41,492.13,564.33
Czechoslovakia,320.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,0.0,0.0,0.0,0.0,0.0,65.0,181.0,138.89,264.52,329.69,322.06,7682.0,334.0,279.0,244.0,382.0,395.0,570.0,491.0,618.0,376.0,498.0,1062.0,414.0,417.76,285.81,202.66,205.34,233.69,278.71,357.11,50.35
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.08,0.51,0.01,,3.1,0.04,0.45
Democratic Republic of the Congo,2613.0,2027.0,902.0,2353.0,1784.0,515.0,1559.0,1341.0,50.0,40.0,87.0,14.0,53.0,146.0,55.0,299.0,131.0,21.0,6.0,6.0,90.0,35.0,65.0,11.0,7.69,12.78,507.62,593.87,379.59,,0.18,4.1
Denmark,187.0,208.0,180.0,173.0,131.0,96.0,172.0,390.0,408.0,361.0,422.0,479.0,481.0,281.0,194.0,160.0,213.0,242.0,485.0,520.0,520.0,557.0,606.0,626.0,571.39,548.76,492.49,424.27,557.95,441.46,443.93,490.4
Djibouti,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.0,0.0,0.0,36.0,883.0,153.0,259.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,0.13,0.95,97.16,297.87,330.4,505.66,642.55,628.64
Dominica,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.36,1.95,0.22,,0.01,0.01,0.95
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,3.43,4.34,11.19,24.7,4.21,7.84,0.78,6.62
Ecuador,1094.0,1444.0,1458.0,1512.0,1470.0,1074.0,1159.0,1195.0,1316.0,1250.0,1165.8,1284.0,1185.0,1094.0,1036.0,1066.0,840.0,724.0,513.0,640.0,625.0,557.0,633.0,697.0,748.51,829.77,697.42,763.88,711.25,590.72,622.7,591.82
Egypt,21.0,248.0,20.0,321.0,227.0,123.0,270.0,243.0,292.0,269.0,929.02,734.0,1378.0,1574.0,1315.0,1336.0,1786.0,1962.0,1252.0,4669.0,1919.0,4722.0,5130.0,4678.0,2384.54,1935.29,2649.61,787.0,737.53,1749.32,1463.31,1580.72
El Salvador,4.0,23.0,25.0,49.0,83.0,64.0,118.0,201.0,323.0,346.0,334.83,423.0,387.0,304.0,168.0,237.0,160.0,553.0,2247.0,57.0,14.0,4.0,6.0,11.0,4.25,7.99,4.25,4.96,1.36,22.49,0.74,7.27
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,2.3,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
Estonia,,,,56.0,184.0,75.0,94.0,289.0,904.0,114.0,80.0,158.0,49.0,62.0,9.0,45.0,9.0,10.0,16.0,18.0,22.0,20.0,60.0,125.0,76.33,57.87,39.86,29.26,18.64,24.65,17.73,49.98
Eswatini,,,,,,,,27.0,19.0,16.0,30.02,146.0,96.0,136.0,202.0,139.0,56.0,39.0,39.0,39.0,39.0,39.0,39.0,1.0,0.85,3.18,2.6,0.05,0.04,0.14,0.11,0.97
Ethiopia,,,,,335.0,155.0,310.0,130.0,406.0,35.0,700.0,200.0,399.0,2193.0,1754.0,1257.0,743.0,959.0,528.0,476.0,484.0,705.0,318.0,400.0,1388.81,1025.86,2195.79,2088.46,1082.67,1232.02,2125.02,1289.84
Ethiopia PDR,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.02,,0.01,0.04
Fiji,40.0,19.0,29.0,23.0,21.0,20.0,16.0,18.0,20.0,20.0,15.0,22.0,22.0,9.0,20.0,23.0,9.0,36.0,43.0,37.0,84.0,12.0,7.0,56.0,80.91,55.42,70.14,72.49,79.51,113.54,80.81,68.53
Finland,9.0,12.0,33.0,89.0,257.0,328.0,684.0,712.0,216.0,207.0,344.0,290.0,169.0,150.0,212.0,198.0,223.0,228.0,181.0,172.0,184.0,163.0,186.0,183.0,175.28,62.8,68.24,31.81,20.18,32.03,72.89,98.58
France,1284.0,1123.0,1100.0,1072.0,2151.0,2829.0,2734.0,2226.0,2751.0,3107.0,3939.0,3491.0,3835.0,3714.0,3131.0,4485.0,2752.0,2636.0,3527.0,3633.0,3980.0,3141.0,3140.0,3769.0,3962.86,4156.76,3833.24,3446.47,3177.96,3077.5,3403.61,3744.17
French Polynesia,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.85,1.05,1.62,0.95,0.86,0.79,0.27,0.1
Gabon,,,,,,,,0.0,,,3.0,,,,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,0.13,2.48,0.05,0.0
Gambia,,,,,,28.0,28.0,28.0,28.0,32.0,6.0,1.0,0.0,1.0,15.0,0.0,5.0,0.0,0.0,670.0,36.0,571.0,604.0,420.0,292.27,97.42,253.01,314.29,2.5,8.04,,
Georgia,,,,28503.0,5100.0,5000.0,16100.0,15048.0,10100.0,14190.29,9639.0,9621.0,8944.0,8471.0,7191.0,6017.0,3818.0,2303.0,2213.0,2466.0,1492.0,2325.0,2297.0,1928.0,1913.18,1708.06,1567.24,2270.49,2058.06,2099.27,2374.17,2439.95
Germany,8779.0,7208.0,7130.0,11769.0,12891.0,13109.0,13555.0,16633.0,16329.0,14802.0,17012.0,17272.0,18274.0,18755.0,21646.0,22090.0,25310.0,24037.0,26994.0,25301.0,25939.0,28665.0,27059.0,26948.0,27162.74,25391.95,25697.02,25577.94,23106.21,22728.5,22110.96,22201.2
Ghana,,,,,,,5.0,0.0,4.0,4.0,2.07,10.0,410.0,37.0,32.0,35.0,76.0,233.0,93.0,72.0,0.0,89.0,23.0,372.0,719.97,100.43,3.35,68.51,31.27,8.95,28.42,48.09
Greece,36.0,8.0,121.0,240.0,91.0,39.0,35.0,26.0,64.0,44.0,18.0,127.0,84.0,80.0,23.0,30.0,20.0,25.0,19.0,38.0,70.0,68.0,51.0,49.0,47.07,62.3,96.38,127.78,302.63,463.65,168.82,117.9
Grenada,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.5,0.13,0.03,0.12
Guatemala,24.0,45.0,54.0,270.0,230.0,105.0,135.0,141.0,91.0,167.82,63.1,109.0,62.0,47.0,97.0,97.0,232.0,350.0,254.0,252.0,182.0,132.0,145.0,155.0,158.28,130.54,164.59,140.96,136.39,161.96,158.7,168.63
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.54,11.52,5.83,0.74,0.51
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,2.73,0.17,0.05,0.1,0.05,1.04,,
Guyana,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,6.0,49.0,18.0,102.0,17.0,17.0,99.06,52.16,14.91,2.77,2.75,2.86,1.73,0.38
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,0.13,2.96,0.2,0.12,0.15,0.06,1.22,1.37
Honduras,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,94.0,124.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,,3.4,17.05,5.64,0.12,1.13,0.6
Hungary,184.0,70.0,189.0,166.0,686.0,434.0,485.0,379.0,474.0,349.0,515.8,669.0,768.0,985.0,1004.0,1166.0,1473.0,1678.0,1662.0,1326.0,1367.0,1955.0,1396.0,1074.0,1087.37,47.59,37.69,48.66,42.91,41.23,45.6,62.34
Iceland,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.13,0.35,0.06,0.43,0.72,1.07,1.43
India,198136.0,215144.0,166359.0,153159.0,150874.0,158333.0,138360.0,191472.0,201798.0,177506.89,200868.0,177603.0,181617.0,174246.0,174728.0,159121.0,181326.0,193459.0,203207.0,203863.0,234560.0,322548.0,225082.0,254841.0,212605.58,235132.43,230456.01,261419.3,262423.09,258050.56,210486.32,197239.78
Indonesia,110959.0,110207.0,121243.0,123925.0,84916.0,79227.0,101532.0,66843.0,67219.0,97847.0,105581.46,99797.0,100185.0,88176.0,98572.0,102294.0,95339.0,83659.0,96210.0,92304.0,87101.0,75450.0,70071.0,70842.0,66398.88,61915.3,51317.47,51357.17,49029.79,42490.72,45264.86,42639.94
Iran (Islamic Republic of),350.0,0.0,0.0,0.0,1038.0,0.0,0.0,7708.0,7731.0,18331.0,21236.69,10004.0,8233.0,7402.0,9491.0,12756.0,33548.0,77028.0,24084.0,10772.0,24611.0,22429.0,11208.0,14620.0,35613.36,7967.58,14786.66,14658.32,16326.68,10000.0,12000.0,9806.74
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,0.0,4.83,3.59,30.26
Ireland,1406.0,1508.0,713.0,252.0,172.0,125.0,377.0,371.0,1159.0,789.0,440.0,577.0,590.0,646.0,398.0,522.0,362.0,433.0,473.0,349.0,876.0,1278.0,1127.0,731.0,652.8,589.14,723.37,861.23,745.0,767.59,795.86,1165.49
Israel,10.0,5.0,100.0,75.0,75.0,70.0,25.0,25.0,25.0,40.0,155.11,97.0,49.0,120.0,323.0,273.0,340.0,296.0,242.0,136.0,204.0,148.0,118.0,148.0,155.03,115.25,157.79,86.55,117.98,149.54,157.31,140.8
Italy,596.0,574.0,419.0,174.0,249.0,243.0,269.0,156.0,224.0,816.0,763.0,675.0,712.0,786.0,862.0,971.0,1704.0,1059.0,1018.0,875.0,1223.0,1297.0,1100.0,623.0,1015.67,1075.04,1648.1,776.95,1228.9,1522.77,810.46,697.49
Jamaica,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,38.0,75.0,168.0,23.0,20.0,127.0,53.0,60.0,102.0,180.0,106.0,263.0,360.0,388.42,197.71,192.73,275.37,308.8,281.32,356.31,370.07
Japan,322.0,289.0,290.0,328.0,345.0,494.0,495.0,580.0,752.0,828.0,704.14,625.0,806.0,845.0,923.0,1145.0,1681.0,1769.0,1767.0,1984.0,2287.0,2420.0,2408.0,3048.0,3594.33,4262.92,4251.01,4744.89,5221.82,5192.11,5340.13,6297.01
Jordan,215.0,1455.0,425.0,79.0,478.0,222.0,236.0,103.0,96.0,284.0,165.85,159.0,150.0,273.0,212.0,89.0,72.0,83.0,421.0,610.0,131.0,577.0,378.0,332.0,440.61,1076.9,2500.82,2623.2,3340.5,3202.67,2959.99,4263.16
Kazakhstan,,,,,,438.0,235.0,85.0,4.0,195.0,150.0,74.0,259.0,109.0,127.0,218.0,270.0,258.0,733.0,426.0,269.0,761.0,1382.0,1527.0,1521.24,1687.03,1927.52,1863.42,2958.25,2616.16,4171.16,5653.62
Kenya,166405.0,175625.0,172053.0,199379.0,176962.0,258564.0,261813.0,199224.0,263685.0,245716.0,217281.73,207244.0,288300.0,293751.0,284309.0,347971.0,325066.0,374329.0,396641.0,331594.0,417661.0,306678.0,234181.0,448809.0,296135.56,298556.85,481076.12,467024.31,500591.48,475996.84,575509.41,556551.86
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,,2.72
Kuwait,113.0,401.0,53.0,67.0,168.0,411.0,250.0,589.0,507.0,580.0,454.0,556.0,66.0,1.0,15.0,6.0,21.0,39.0,39.0,775.0,4.0,1.0,1.0,1169.0,970.05,516.89,423.02,721.12,647.27,42.79,527.59,8.12
Kyrgyzstan,,,,,,,304.0,953.0,1088.0,221.0,290.0,261.0,915.0,968.0,1005.0,376.0,362.4,203.1,259.2,236.5,223.0,401.0,475.0,99.0,19.34,200.09,167.5,273.77,308.11,246.92,364.46,85.55
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,100.51,61.95,66.91,73.3,93.93,2367.67,1875.95,2972.45
Latvia,,,,88.0,100.0,41.0,46.0,25.0,87.0,75.0,31.0,42.0,19.0,28.0,35.0,45.0,56.0,150.0,127.0,216.0,1211.0,1046.0,919.0,768.0,384.49,525.82,518.89,305.53,407.71,325.55,297.68,313.2
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,61.0,65.0,87.0,53.0,75.0,92.0,92.0,73.0,81.0,439.0,170.0,277.0,277.0,301.0,256.0,345.0,357.75,273.55,306.99,271.81,713.01,503.92,227.58,76.87
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.26,0.05,2.0,1.18,138.64,110.39,0.04
Liberia,0.0,0.0,0.0,195.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,53.0,800.0,1625.0,2411.0,0.0,0.0,0.0,0.0,0.0,1.0,16.2,0.32,,0.17,0.77,104.77,0.16,0.02
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,352.3,0.07,449.9,449.9,,,0.0,0.03
Lithuania,,,,,237.0,310.0,474.0,421.0,675.0,355.0,240.0,255.0,231.0,187.0,141.0,133.0,172.0,212.0,251.0,311.0,488.0,382.0,416.0,461.0,541.57,911.75,432.86,419.83,362.48,393.59,366.39,300.44
Luxembourg,,,,,,,,,,,7.0,39.0,46.0,50.0,20.0,19.0,10.0,5.0,3.0,4.0,5.0,4.0,5.0,8.0,11.86,8.52,13.98,14.07,15.89,6.61,8.81,21.61
Madagascar,17.0,182.0,208.0,296.0,196.0,151.0,160.0,228.0,210.0,354.0,390.77,387.0,408.0,436.0,314.0,233.0,282.0,321.0,178.0,232.0,201.0,247.0,163.0,160.0,80.41,51.46,94.71,60.58,24.02,1.53,80.69,22.23
Malawi,41014.0,37047.0,37056.0,35264.0,35138.0,32387.0,32400.0,39824.0,40518.0,30000.0,42400.0,36587.0,42596.0,36924.0,46200.0,44600.0,27503.0,54397.0,30435.0,47356.0,49999.0,46007.0,34679.0,43245.0,40000.0,38785.33,43655.67,41272.71,47624.87,46943.77,46922.55,36798.08
Malaysia,437.0,260.0,286.0,272.0,378.0,293.0,492.0,350.0,348.0,455.0,648.0,1208.0,2231.0,1631.0,998.0,1483.0,1091.0,1143.0,1609.0,2856.0,2286.0,2503.0,2093.0,2297.0,2318.03,1877.32,2414.54,2875.58,3999.03,4644.43,5884.88,6279.19
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Mali,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,150.0,79.0,21.0,0.0,4.0,143.0,167.0,41.0,69.0,69.0,558.0,17.0,191.0,536.56,66.31,1309.96,2029.78,234.0,420.51,18.53,9.24
Malta,0.0,0.0,11.0,5.0,3.0,0.0,0.0,0.0,11.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,,,0.01,0.18,0.13,0.31,0.07,0.03
Mauritania,,,,,,,,,,,,13.0,13.0,11.0,0.0,350.0,2487.0,762.0,762.0,762.0,0.0,0.0,0.0,0.0,,11.46,,,0.01,,23.5,
