index,label,review
10,neg,"I feel the movie did not portray Smith historically. The goal of this movie was to tell Smith's life in a way that would be ""comfortable"" to the LDS Church leaders, historical accuracy seems to have been of little concern. The movie was designed to be a ""faith promoting"" experience, not a balanced view of Smith ""as a man."" I have taken it upon myself to study Smith's life and have read both LDS works and none LDS works. The movie, like most LDS projects, was beautifully filmed and well acted. However, this was not a realistic portrayal of either the beginnings of Mormonism or Smith's relatively short life.<br /><br />A significant period of time was given to reenacting an accident that Smith had when he was seven. While this event was no doubt important in forming his mental outlook, it appears that the main reason for including it in the film is to help establish a sympathetic view of Joseph Smith. Another point is in portraying Smith's teen years the film is silent regarding the Smith family's involvement in magical practices during the 1820's. Another problem is while the movie shows Joseph Smith good-naturedly entering into wrestling contests, it fails to show how he sometimes lost his temper and became violent.<br /><br />I could go on and on. This movie was not historical in any way and should be considered a fictional movie about a man. I would not recommend seeing this movie for any other purpose other then entertainment."
11,neg,"Words cannot begin to describe how blandly terrible this movie is. I wish it were ""so bad it's good,"" but it's not. It's just dull, lifeless, and boring. It's so bad I couldn't even laugh at it.<br /><br />In response to other posters, Anne-Marie Frigon is not the highlight of the movie. The only person less charismatic is the director Brett Kelly, who as a true statement on vanity, cast himself as the male lead. They both look like inbreeds, sister and brother.<br /><br />The gal, Sherry Thurig, is a looker. The complete opposite of Anne-Marie - attractive. This girl is tall and willowy, and can act. Although you can tell she's holding back.<br /><br />All the actors seem to be holding back, especially the supporting male, Mark. I've seen less wood in a rain forest, but he's still better than Kelly. Why would Kelly keep his actors from acting? Is he really that bad a director? Everyone else has summed the story up perfectly - there isn't one. Kids are kidnapped and Kelly steps in poo to solve the crime. I know how he felt stepping in the poo, it's how I felt after watching his movie.<br /><br />Yes, I tried to get my money back from the rental store. This is a home movie best left to be seen by the friends of the director (and if you search them out, you'll see those same friends were the one who gave the movie positive marks)."
12,neg,"How come I've never seen or even heard about this junk-movie before? It's right up my alley with bloody teenkill, laughable plotting and an irresistible 80's cheese-atmosphere hanging around it. For some reason nobody is really interested in, the staff and students of an elite Catholic university are butchered by an unknown psychopath. Freshly recruited teacher Julie Parker becomes involved when all the people she has contact with either turn up dead or behave strangely. This movie is hilariously bad! There's absolutely no logic or coherence and every character is equally meaningless to the others. For example, there's a girl killed and her body dumped in a container. Then, and for no reason, the story suddenly moves forward three weeks yet the murdered girl is never mentioned or even missed. Not even by her boyfriend! The acting is pitiful and there isn't even a bit of nudity to enjoy. The revelation of the killer is quite funny because the makers really seemed convinced that it was an original twist... It's not, guys! ""Splatter University"" is easily one of the worst horror-turkeys ever."
13,pos,"One of the best movie-dramas I have ever seen. We do a lot of acting in the church and this is one that can be used as a resource that highlights all the good things that actors can do in their work. I highly recommend this one, especially for those who have an interest in acting, as a ""must see."" There are several scenes of note. For one, the graveyard scene when Hamlet encounters Yorick (everyone knows about THAT scene by just going to elementary school), and his interaction with the skull was extremely well done. The logic used in this scene was tremendous--I suppose a testament to Shakespeare more than anything else. For a second, I very much enjoyed the scene where Hamlet, Horatio and the character played by Robin Williams discussed the upcoming duel."
14,neg,"Utter dreck. I got to the 16 minute/27 second point, and gave up. I'd have given it a negative number review if that were possible (although 'pissible' is a more fitting word...). Unlike the sizzle you could see and practically feel between MacMurray and Stanwyck in the original, the chemistry between dumb ol' Dicky Crenna and whats-her-face here is just non-existent. The anklet becomes an unattractive chunky bracelet? There's no ciggy-lighting-by-fingertip? And I thought I'd be SICK when they have a mortified-looking (and rightly so, believe you me) Lee J. Cobb as Keyes practically burping/upchucking his way through the explanation of his ""Little Man"" to Mr. Garloupis. No offence to the non-sighted, but it looks as though a posse of blind men ran amuck with the set design of both the Dietrichson and Neff houses. The same goes for those horrid plaid pants that Phyllis wears. And crikey, how much $$ does Neff make, that he lives overlooking a huge marina? This, folks, again, all takes place in the first 16 and a half minutes. If you can get through more of it, you have a much stronger constitution than me, or you are a masochist. But please, take some Alka-Seltzer first, or you WILL develop a ""little man"" of your own that may never go away. Proceed with caution, obviously."
15,pos,This film to me is a very good film!!<br /><br />I have a German Shepherd myself and I wish to god he was like Jerry Lee!! I hope too that there is another K-9 in the running!! With Jerry Lee and Dooley in them!! I don't care what any one say these two films were excellent!!
16,pos,"I have just started watching the TV series ""What I like About You"" and I must say that is a joy to watch. I always like to see new shows do well considering a lot of shows go off before you really get a feel for them. I have watched Amanda Bynes since ""All That"" she is truly a funny girl, what is the best about her comedy is that its so natural and what i mean about that is, its something that a person could here there best friend saying, its not rehearsed.<br /><br />I just recently started watching the show and have fell in love. I am just watching re-runs as of now but am looking forward to the next season. All the characters in the show give something to the whole story line. Its nice to see some old face from other shows I enjoyed watching in the past such as, Jennie Garth from ""90210"", Leslie Grossman from ""Popular"", and Wesley Jonathan from ""City Guys."" The New Character are very talented as well, Nick Zano has that charm the makes you love him even when he is doing something wrong to holly (Bynes).<br /><br />Overall this show has the right ingredients to be successful, I look forward to watching it grow."
17,neg,"Let me be really clear about this movie. I didn't watch this movie because of the plot, I watch it for the saucy sex scenes. That being said, this movie is so god damn awful I flip between pure joy of seeing a godly body of Traci (Mandy Schaffer) and cringing my eyeballs out for the disaster of a plot.<br /><br />Spoiler Alert The first scene of the movie already had me cringing.. you see a woman painting something by the lakeside, in pure bliss and serene, then a beautiful girl approach and ask if she could paint beside her. When they both finished, they show each other what they had done... and the woman painted A VINEYARD WHEN SHE IS FACING INFRONT OF THE LAKE. What kind of screwball director would make this kind of mistake?? And in another scene, Traci gets to kill her teacher's lover by smash him with the sail pole, and then she swims away, and none of the town's police suspected her once. I mean HELLOOOOO? MANDY DID NOT WEAR A GLOVE DID SHE? HER FINGER PRINTS ARE ALL OVER THE GOD DAMN BOAT!! After that, it gets worst, whenever Mandy is around, there is the ""chilling"" sound effect played which sounds like a cat in hissy fit. It's also a real pity Rosanna Arquette's is in this movie. I feel real sorry for her to have to star in this super low budget soft-porn no brainer. Same goes for Jürgen Prochnow, who also has the misfortune to star in this movie. All in all, 2/10."
18,neg,"My husband is a huge Robin Williams fan. I like him too, but have generally found that he should ""stick to what he does best"" and focus on comedic roles. My thoughts were confirmed with this movie. I was completely bored throughout the entire film. The story was predictable. I realize it was inspired by a true story. But, my guess is that there could have been some suspense or intrigue even while maintaining truth in the story. None of the characters were well developed. There was a side story about the main character and his partner. This relationship could have been explored further. More important, though, would have been a deeper exploration of the mother of the ""boy"". Her psychological profile would have been interesting to delve into. She obviously has a long history that was not touched upon except in the most superficial way. If my husband wasn't such a huge Williams fan, we would have left 20 minutes into it. Too bad I can't get my $20 or 2 hours back."
19,pos,"Jeremy Northam's characterization of the stuttering, mild mannered bookish Morgan Sullivan and watching him let loose bits and pieces of his real identity under the influence of single malt scotches and under the spell of Lucy Liu's presence is brilliantly crafted and a joy to watch. His offering her a cigarette at the bar is an old habit, done without thinking or even asking and he becomes lost in her face, neck and lips. No matter the brainwashing, love has a way of persevering. Love also cannot be ""brainwashed in"" with either of his two fake wives. In gradual stages, he begins to dispense with his glasses, to walk and talk differently and even his face looks different as the movie progresses. The music is fantastic, hypnotic, sexy and appropriately driving at times. The extensive use of black and white and grey tones makes this almost a sci fi ""film noir"" in the tradition of many classic thrillers. I would have liked to have seen more vulnerability in Lucy Liu's portrayal, whenever she sees him in his various frazzled states, the man she loves and for whom she is performing a mission based on blind faith, some restrained vulnerability and flashes of genuine sympathy and concern would have made it a less one dimensional performance on her part. She is just no match for Northam's talents, but all in all I thoroughly enjoyed this film and would enjoying knowing about other screenplays written by the same author."
20,neg,"I know, I know, ""Plan 9 from Outer Space"" is the worst movie, or maybe ""Manos, the Hands of Fate."" But I can't get worked up over those sock-monkey movies. Of *course* they're bad. How could they be any good? But if you're talking about movies with respectable production values and bankable talent, the T. rex of all turkeys has to be ""Yentl."" All the treacly phoniness, all the self-absorbed asininity, that stains everything Barbra Streisand has done since 1964, reaches its culmination in this movie. From its lonely summit of awfulness, ""Yentl"" looks back to ""A Star is Born"" and forward to ""The Mirror Has Two Faces."" There is nothing else quite like it. What emotional undertow dragged Streisand out to make this movie I would rather not speculate, and what audience she was playing to I cannot possibly imagine, although I'll bet there's a nine in ten chance you aren't a member of it.<br /><br />Nobel Prize-winner and saintly guardian of Yiddish literature Isaac Bashevis Singer was so outraged by what Streisand did to his story that he blasted her in public for it. It is a tribute to Streisand's impenetrable vulgarity that she not only didn't commit suicide, but went on to make more awful movies."
21,pos,"I reached the end of this and I was almost shouting ""No, no, no, NO! It cannot end here! There are too many unanswered questions! The engagement of the dishwashers? Mona's disappearance? Helmer's comeuppance? The ""zombie""? Was Little Brother saved by his father? And what about the head???????"" ARGH!! Then I read that at least two of the cast members had passed on and I have to say, I know it probably wouldn't be true to Lars von Trier's vision, but I would gladly look past replacement actors just to see the ending he had planned! Granted, it would be hard to find someone to play Helmer as the character deserves. Helmer, the doctor you love to hate! I think I have yet to see a more self-absorbed, oblivious, self-righteous character on screen! But, I could overlook a change in actors....I just have to know how it ends!"
22,neg,"Nothing happens.<br /><br />Then characters with no personality don't develop.<br /><br />Then the end never comes because there's no beginning and no middle.<br /><br />There are beautiful shots that are made not beautiful because they aren't even allowed to be, because this movie isn't even THERE. There's no ""is"" in this movie because there's no plot or characters or themes or ideas or symbolism or discussion or dialog or point. There's nothing! <br /><br />There is a good point: it has a good soundtrack. But the sound editing is such and the movie proper is such that watching it isn't even worth your time, so if you're really interested, I'd suggest going and buying the soundtrack or something. You'll get everything you can from this movie without all the fatigue, headache, and impatience.<br /><br />--PolarisDiB"
23,pos,"If you love cult 70's Sci-fi the way I do, or if you like movies such as ""Repo Man"" or ""Buckaroo Bonzai"" than you're going to love this one. It's a stream of consciousness 70's Sci-fi spectacular, including a 22nd century junkyard and the Earth a million years from now. This movie is pure 70's. Put on Steve Miller's ""Fly Like An Eagle"" or Pink Floyd's ""Dark Side Of The Moon"" and you're ready to go!"
24,pos,"""Jared Diamond made a point in the first episode that other peoples of the world didn't have animals to domesticate but Europeans did, and that accounts for why we were able to make steel and invent complex machines"". --- It is obvious that the person who wrote this comment hasn't understood the reasoning behind this documentary or the original book. Please don't ruin this great piece by your simple mindedness. The reasons are far more complex than the single thing you mentioned. Please read the book as is it a great source of information. I enjoyed it a lot. This book is even a taught as a text book at some universities."
25,neg,"And when I watch Sarah Silverman, I get the same results. I love quirky, irreverent humor. BUT this woman is so darned B-O-R-I-N-G, annoying, and yawn-worthy. She's also totally lacking in anything whatsoever humorous. The deadpan way she tries to deliver her lines is just dead on arrival because she's just not funny. I watched two segments of her program and was ready for Novocaine.<br /><br />Geez, my kid (age 19) saw her promos on Comedy Central and said she was a ""dumb chick."" I thought that was a compliment. The one where she says ""Watch my show or I'll kill my dog,"" is actually believable. I know she's a wanna be comedienne. She just comes across as a warped nut-case. I just don't ever want to see her around MY dog."
26,pos,"This movie might not put the Catholic church in the best light but it is telling a story based on true events. Unfortunately not everything in life, including religion, are all nice and rosy. Sometimes people and groups do things that at the time seem like the right thing but in retrospective do not look as great as they once did. ""A Love Divided"" tells the story of a family, yes it does incorporate religion, but really the story is about a family, and that family's ability to stay together no matter what is thrown at them. This film is also based on true events which is not to say that this story, scene by scene, is true, but if you were to look at news articles from that time period you would be able to see that neither churches handled the incident in a way that was helpful towards the family. Both churches are at fault here, the Catholic church for forcing such a regulation on the family in the first place and not responding to the violence that came with it and the Protestant church for telling the mother that she should just obey her husband and his priest and not put up a fight. In this case both let this family down. I believe that the film does a good job in showing this struggle in both the church and the family. It in no way shape or form is putting down the Catholic church, just the opposite, it shows how one incident can change the course of that religion's ideas and how one person can have an effect far more reaching then just themselves."
27,neg,"Fantastically putrid. I don't mean to imply above that only a few people should avoid ""Doc Savage."" Almost every demographic group would be bored by this trivial, TV-movie-quality production. It's a little like the 60's ""Batman"" TV series, except it's not funny. Even accidentally. You're better off taking a nap."
28,neg,"I really felt cheated after seeing this picture. It felt like I sat watching this movie 101 minutes for nothing. I don't understand what they were thinking when they made this. It hardly gets into Jeffrey Dahmer murdering and it has no ending. It felt almost like they were leaving this movie open for a sequel. It was like watching a television episode of the Sopranos. It ends suddenly, and you know there's going to be another episode next week. It also felt like I just watched part 1 to a two part movie. There are many possibilities for what went wrong here; they got lazy, they ran out of money, they didn't know the rest of the story, they wanted to make a Dahmer 2. After seeing this movie they all sound very accurate. I was watching Jeffrey Dahmer walking through the woods. All of a sudden I hear this music playing, then writing comes on the screen and says how Dahmer served 2 years of his sentence and was attacked by a fellow inmate and killed at the age of 34. Wow, he goes from a walk in the woods to his death in jail. How about showing how he got there. How about showing Dahmer's trial. How about showing some more detail. I can't even explain what happened in this movie because it jumped all over the place. I actually found myself saying in disbelief, ""That's it, that's the end?"" I want to conclude this review by saying there is still a good Dahmer movie yet to be made. To the filmmakers I'd like to say, if you're going to do it, do it right."
29,pos,"As a young boy, I always sort of hated ""Cinderella,"" since I was outvoted by my two sisters when my parents were considering what Disney movie to buy. I wanted ""Dumbo,"" but my sisters won out, and we got ""Cinderella."" They thoroughly enjoyed the movie while I sulked in the back of the room playing with my Star Wars action figures.<br /><br />A lot has changed since then. My love of the Disney theme parks landed me an internship at Walt Disney World, and I now have two young nieces. I like to showcase Disney to them as much as I can, and we recently watched ""Cinderella"" together. With my newfound appreciation for all that is Disney, I watched ""Cinderella"" with a new perspective and was impressed with what I saw.<br /><br />From the beginning of the movie, though, I didn't quite understand why Cinderella was trapped in such a horrible predicament. Why was she such a slave to her stepfamily, and why couldn't she just run away? I wasn't too sympathetic to Cinderella, but as the story progressed, I found myself becoming immersed in the story. Maybe the eye-catching animation or the fun-loving characters drew me in, or maybe it was the timeless songs. Listening to songs like ""Bibbidy-Bobbidy-Boo"" and ""A Dream is a Wish Your Heart Makes"" sort of whisked me back to the theme parks. I can picture myself in that carefree and fun atmosphere while looking at the awe-inspiring Cinderella Castle.<br /><br />Something about this movie just evokes the magic of Disney. That may make many people scoff, but go to the Magic Kingdom and see all the little girls dressed up like Cinderella that are excited to be in this fantasy world, and you'll know what I'm talking about. The images of Cinderella and the glass slipper - as well as Mickey Mouse, Winnie the Pooh, and Tinkerbell - embody why Disney is one of the most beloved companies in the entire world.<br /><br />While ""Cinderella"" may not be the strongest story, it is sort of iconic in Disney and movie history. It represents that fun, idealistic, and fantasy-like wonderment we held when we were kids. I imagine this movie holds a lot of meaning to many, many people out there. It may not be my favorite Disney movie, but it does represent all that I love and admire about the Company.<br /><br />My IMDb Rating: 10/10. My Yahoo! Grade: A (Outstanding)"
30,neg,"Spoiler!! I love Branagh, love Helena Bonham-Carter, loved them together in ""Mary Shelley's Frankenstein"" - but THIS -<br /><br />I can understand an actor's desire to stretch, to avoid the romantic stereotype. Well, they did, but really - the script droned on, Bonham-Carter's clothes were tres chic, and the occasional speeded-up ""madcap"" sequence could have been an outtake from a Beatles' movie, or the old Rowan and Martin Laugh-In.<br /><br />I never got the point - other commenters say the Branagh character was a dreamer. I never felt that. He was a loser, and not very bright, and certainly not endearing. The business with the bank robber disguise was merely painful to watch. Certainly not amusing.<br /><br />Bonham-Carter's realistic (one supposes) attempts as realistic speech were harder to understand than the first 15 minutes of Lancashire accent in ""Full Monty.""<br /><br />The poetic ending, with him high on a hill with her buried under the monstrosity of his airplane was too orchestrated. Was there a choir of angels, or merely a soundtrack?<br /><br />Go back to the classics or something with a spine and an arc to it. Donate this to PBS.<br /><br />"
31,pos,"""The Last Big Thing"" is a wonderful satirical film that sardonically whips pop culture to the point of humorous self-desctruction. The characters are so interesting and fun to laugh at/sympathize with. Which brings me to an introduction to the characters I liked best...<br /><br />Simon Geist is a man in his late 30s/early 40s who creates a pop-culture driven editorial magazine called ""The Next Big Thing"". Thing is, this magazine doesnt really exist, and it is only an excuse for Simon to get close to actors by interviewing them, only to bitch-slap them silly, insulting their way of buying into pop culture. His live-in female friend, Darla, is also writing a magazine (which is real), which mainly has to do with her and Simon, as well as her and her father. Darla is a genuinely loveable (or loathable) character, depending on how you view her muted neurotic behavior. Magda is a prostitute, the character i liked the best. Brent is a flat character with not much to him, as is Tedra, the music-video queen for a bunch of B-rated rock bands. Still, these characters weave a very interesting web together. And this movie questions all the motivations that people have for what they do and why they do it. Its a wonderful film and I suggest you see it if you're in the indie/art house crowd. Mark my words!<br /><br />"
32,pos,"What can one say about Elvira that hasn't already been said in the world's press? The classic comedienne that IS Elvira delivers in her first full-length big budget comedy masterpiece.<br /><br />From the very first movie frame thingy, Elvira packs an acting punch that clearly says Film Great....eat your heart out, Bette Davis! See a forlorn Elvira, see an excitable Elvira, see a jealous Elvira, see a murderous Elvira. You can do nothing but marvel at her acting prowess!<br /><br />At the heart of this comedy masterpiece is Elvira's desire for Las Vegas show stardom. Despite putting ""the boob back in the boobtube"" as a horror hostess (with the mostest), Elvira finds the small screen constrictive emotionally....and PHYSICALLY! Nuff said, she packs up her kitbag and heads East....a hotdog in one hand and a letter from her Aunt's lawyer outlining her inheritance 'windfall' in the other.<br /><br />I've seen this movie so many times, I can almost recite it verbatim....(verbatim would just be showing off)!<br /><br />Grab a copy, laugh yourself silly, learn the lines....<br /><br />Why she didn't win the Best Actress Oscar for this role is beyond me."
33,neg,"Raising Victor Vargas fails terribly in what it tries most to be: being real. Unfortunately, there is no reality to this film. The characters and situations feel completely artificial and fake.<br /><br />The reason? Bad directing. Peter Sollett uses all the wrong tools in his arsenal. It seems Mr. Sollett read somewhere that not lighting his film would give it an authentic feel. Wrong! It just gives it a badly-made feel. Similarly, shaking the camera does not give a documentary style to your film, it just gives the audience a headache and detracts from what's on screen instead of enhance it.<br /><br />Of course, what's on screen is so painfully fake, as if Mr. Sollett wrote his script with the only goal of trying to look ""hip"" to his Sundance buddies and show how ""edgy"" a filmmaker he is.<br /><br />Overall, the only lasting impression this film leaves you with is what a bad director Mr. Sollett is. Next time, how about taking a few writing and directing classes?"
34,pos,"Fully deserving its prestigious Hollywood award nomination, this is an entertaining little gem with lots of pizazz and some delightful surprises. Outstandingly funny scenes include an hilarious shoot (and re-shoot) of a WW1 trench scene with Australian comedian Clyde Cook as an optimistic non-com and the hapless McDoakes as a Boyer/Colman messenger  all under the beady eye of Ralph Sanford's delightfully irascible Anguish; a lost McDoakes guided and re-guided by equally perplexed Jack Carson; assistant director Chandler rejoicing in a McDoakes-sent opportunity: ""I'm going to be a director!"" <br /><br />Ace comic O'Hanlon has a dual role, playing both McDoakes and himself playing McDoakes! Oddly, Richard L. Bare who does play himself in one or more other entries in the series, has turned down that opportunity here. In real life, Bare's a youngish, six-foot Rock Hudson lookalike, but here he's impersonated by veteran actor (over 500 movies!), Jack Mower."
35,neg,"""Sir"" John Gielgud must have become senile to star in a mess of a movie like this one.;<br /><br />This is one of those films, I suppose, that is considered ""art,"" but don't be fooled.....it's garbage. Stick to the ""art"" you can admire in a frame because the films that are labeled as such are usually unintelligible forgeries like this.<br /><br />In this masterpiece, Giegud recites Shakespeare's ""The Tempest"" while the camera pans away to nude people. one of them a little kid urinating in a swimming pool. Wow, this is heady stuff and real ""art,"" ain't it?? That's just one example. Most of the story makes no sense, is impossible to follow and, hence, is one that Liberal critics are afraid to say they didn't ""understand"" so they give it high marks to save their phony egos. You want Shakespeare? Read his books."
36,pos,This movie was my first touch with Mr Sica so I really didn't know what to expect. But what I saw just broke all my expectations - in a good way.<br /><br />The storyline is not complex and shows us a life of found boy- orphan and particularly his connection into the community of poor people who together built themselves a hood of simple metal plate houses. This little city in another city lives own life and things are going fine. But one day there is a water resource found and a rich nobles man is getting interested in the buying the place. But as the title of the movie hints - there is a miracle taking place. Our character gets a wonder dove from his dead mother. What is he going to do to protect his friends and all built city as well?<br /><br />It was just a masterpiece of natural comedy. There is shown the behavior of poor people and how money and property can talk and play with people. Also many funny moments and scenes are included - at the beginning with the spot where sun is shining and many more.<br /><br />So according to the fact that I m not a comedy lover you should see this movie because I liked it much <br /><br />I
37,neg,"I own this movie. I bought it for $3.99 at a fairly major video retailer in order to do some ""indie"""" type movie research since I had just finished my own feature and was editing it. Now when I feel down about my skills as a first time director I just sit down with a plate of cookies and Severed. Within minutes I feel great!!!<br /><br />I hate to down talk another filmmaker so I'll just use constructive criticism. 1. Find good actors. Take the time. It really helps. 2. When shooting video, over light your scenes and darken in the computer later on in post. 3. Closeups are better for Video. 4. When an actor enters a scene, wait a bit before<br /><br />having them speak so that we know what's going on and who's talking. 5. Never show the back of a door while we wait for someone to come open it. Damn well worth the $3.99<br /><br />The True Horror would be getting the reviews Severed has here on IMDb. And you have to give these guys credit... they did get distributed."
