Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Running Time (Minutes),Directed by,Written by,Original Air Date,U.S. Viewers (Millions),Music by,Cinematography by,Editing by,IMDb Rating,Rotten Tomatoes Rating (Percentage),Metacritic Ratings,Ordered,Filming Duration,Novel(s) Adapted,Synopsis
2,1,11,The North Remembers,52,Alan Taylor,"David Benioff, D. B. Weiss",1-Apr-2012,3.86,Ramin Djawadi,Kramer Morgenthau,Frances Parker,8.6,100,8.9,"April 19, 2011",Second half of 2011,A Clash of Kings,"In King's Landing, Tyrion becomes acting Hand of the King, much to Cersei's dismay. At Dragonstone, Stannis proclaims allegiance to the priestess Melisandre's God of Light and claims the Iron Throne, having revealed Joffrey's bastardy. Joffrey orders all King Robert's bastards slaughtered. One of King Robert's bastards Gendry, along with the disguised Arya, have escaped the city and are being taken to Castle Black. Having won three victories, Robb Stark, who is now proclaimed as the King of the North, offers the Lannisters peace in exchange for the North's independence and Sansa's and Arya's safe return. He sends Theon to gain Balon Greyjoy's support, and Catelyn to seek an alliance with Renly Baratheon, who also claims the crown. Beyond the Wall, the Night's Watch shelters with Craster and his daughters/wives. In Essos, as her people slowly die in the Red Waste, Daenerys dispatches three riders to conduct reconnaissance."
2,2,12,The Night Lands,53,Alan Taylor,"David Benioff, D. B. Weiss",8-Apr-2012,3.76,Ramin Djawadi,Kramer Morgenthau,Frances Parker,8.4,89,7.7,"April 19, 2011",Second half of 2011,A Clash of Kings,"Returning to Pyke Island after nine years as the Starks' ward, Theon is reunited with his sister, Yara, and his father, Balon, who despises Theon's acquired Northern ways. Balon plots to win back his crown by force. Cersei rejects Robb's terms, and Tyrion exiles Slynt, head of the Gold Cloaks, to the Knight's Watch, and promotes Bronn to Commander of the Watch. En route to Castle Black, Arya, impersonating a boy, admits her true identity to Gendry. At Craster's Keep, north of the Wall, Samwell Tarly is approached by Gilly, one of Craster's daughters. Gilly fears for her unborn child if it is a boy; Jon Snow resists helping, despite Sam's pleas. In the Red Waste, a horse returns to Daenerys' camp with its rider's severed head in a pouch, a message from her enemies. In Dragonstone, former smuggler Ser Davos Seaworth, who now serves Stannis, recruits the pirate Salladhor Saan and his fleet to Stannis' side. Stannis attempts to sire a male heir with Melisandre, as his wife, Selyse has failed to produce a son. Jon discovers that Craster sacrifices his sons to the White Walkers; Craster catches him spying and knocks Jon unconscious."
2,3,13,What Is Dead May Never Die,52,Alik Sakharov,Bryan Cogman,15-Apr-2012,3.77,Ramin Djawadi,P.J. Dillon,Katie Weiland,8.7,100,8.3,"April 19, 2011",Second half of 2011,A Clash of Kings,"Catelyn arrives at Renly's camp to negotiate an alliance. The female warrior, Brienne of Tarth, wins the right to join Renly's king's guard through combat. Renly has recently wed Margaery Tyrell, Loras's sister. Renly avoids consummating his and Margaery's marriage due to his homosexuality and sexual relationship with Loras. In the Iron Islands, Balon plans an attack on the North, led by Yara. After burning his letter to Robb warning of Balon's impending attack, Theon affirms his allegiance to House Greyjoy in a water-based ceremony. In King's Landing, Tyrion imprisons Pycelle after determining he is Cersei's informant. Tyrion appoints his lover, Shae, as Sansa's handmaiden, both to protect Shae and watch Sansa. Beyond the Wall, Craster demands the Night's Watchmen leave. Jon discovers that Jeor Mormont has always known about and ignored Craster's incestuous crimes in exchange for his men's respite at his keep. On the road to the wall, the Night's Watch recruits are attacked by Lannister soldiers searching for Gendry. Yoren is killed, and Arya and Gendry are taken prisoner. To protect Gendry, Arya falsely states that a boy the guards have killed was Gendry."
2,4,14,Garden of Bones,50,David Petrarca,Vanessa Taylor,22-Apr-2012,3.65,Ramin Djawadi,Martin Kenzie,Katie Weiland,8.6,97,9,"April 19, 2011",Second half of 2011,A Clash of Kings,"Robb's Army attacks a Lannister Army at Oxcross and claims another victory, meeting a healer girl named Talisa Maegyr in the aftermath. In response, Joffrey publicly abuses Sansa as revenge for Robb's victories until Tyrion intervenes. The dwarf sends two prostitutes to the young King to calm his tempers, but Joffrey makes one of them beat the other brutally, thus threatening Tyrion not to interfere with his business. Catelyn attempts to unite the Baratheon brothers against the Lannisters, but Stannis demands Renly's loyalty to him as king. Littlefinger visits Catelyn and offers to trade Jaime for her daughters. Davos witnesses Melisandre giving birth to a shadow creature. Tyrion releases Pycelle and dismisses him from the Small Council. When Tyrion discovers Cersei's incestuous relationship with their cousin, Lancel, he blackmails Lancel into spying on Cersei, threatening to reveal the relationship to Joffrey. Arya and Gendry are taken to Harrenhal castle as captives. Prisoners are systematically tortured to death until Tywin arrives and demands they be used as labor. Recognizing Arya is a girl, he makes her his servant without knowing her true identity. After an exhausting journey through the desert, Daenerys arrives at the prosperous city of Qarth. Daxos, a member of the Council of Thirteen, persuades fellow councilmen to allow Daenerys and her retinue to enter the city."
2,5,15,The Ghost of Harrenhal,54,David Petrarca,"David Benioff, D. B. Weiss",29-Apr-2012,3.9,Ramin Djawadi,Martin Kenzie,Katie Weiland,8.6,96,7.6,"April 19, 2011",Second half of 2011,A Clash of Kings,"At Harrenhal, Jaqen H'ghar, one of three caged prisoners Arya previously saved, pledges to kill any three people she chooses to repay his debt to her. Her first choice is the Tickler, the man who mortally tortures the captives. Renly is killed by Melisandre's shadowy assassin. Lady Brienne is accused of the murder and Catelyn forces her to flee the camp. Excluding the Tyrells, Renly's forces join Stannis. Brienne swears life-long fealty to Catelyn and will protect her daughters. Theon sails from Pyke, and against Yara's orders, intends to prove he is a true Ironborn by capturing Winterfell during Robb's absence. Lancel tells Tyrion about wildfire, a mass-produced explosive substance hidden in the city's dungeons and intended to destroy Stannis' fleet and army during the impending siege. Tyrion then takes control of the scheme. In the north, the Night's Watch arrives at an ancient fortress called the Fist of the First Men. Jeor Mormont allows Jon to join the team led by a veteran named Halfhand, to kill the enemy leader. In Qarth, Daxos proposes marriage to Daenerys in exchange for providing her his wealth to conquer the Seven Kingdoms. Ser Jorah convinces her to instead gain the Westerosi peoples' support."
2,6,16,The Old Gods and the New,54,David Nutter,Vanessa Taylor,6-May-2012,3.88,Ramin Djawadi,Martin Kenzie,Oral Norrie Ottey,8.9,100,9.3,"April 19, 2011",Second half of 2011,A Clash of Kings,"Against Cersei's wishes, Tyrion sends her and Jaime's daughter, Myrcella, to Dorne for protection. Theon captures Winterfell and executes Ser Rodrik Cassel. Osha, the captive Wildling, along with Hodor, helps Bran and Rickon escape. In the aftermath of another battle, Robb reunites with Talisa. At the Fist of the First Men, Jon captures a Wildling named Ygritte, but is separated from his patrol while pursuing her after she escapes. Joffrey's presence among the people incites a riot at King's Landing, in which he is nearly killed and Sansa almost raped. Tywin allows Littlefinger to seek the Tyrells' allegiance. At Harrenhal, Arya has H'ghar kill an officer who is suspicious of her. Robb receives news about Theon's treachery and sends men to retake Winterfell. At Qarth, Daenerys works to procure a ship to transport an army to Westeros while keeping Daxos at bay. One of Daenerys' maids is killed and her dragons stolen."
2,7,17,A Man Without Honor,55,David Nutter,"David Benioff, D. B. Weiss",13-May-2012,3.69,Ramin Djawadi,Martin Kenzie,Oral Norrie Ottey,8.8,96,8.7,"April 19, 2011",Second half of 2011,A Clash of Kings,"Theon and his men pursue Brandon and Rickon. Tywin has Harrenhal searched for his officer's killer. Jon recaptures Ygritte, but she escapes again, leading him into a trap. Still shaken from the riot, Sansa is horrified that she has begun menstruating and is now old enough to marry and bear Joffrey's children. Cersei warns her to love no one but her children, not even Joffrey. In Robb's camp, Jaime's failed escape leaves a guard dead and some soldiers seeking retribution. In Qarth, the warlock Pree says he stole Daenerys' dragons; he offers her the opportunity to reunite with them, then slaughters the Council of Thirteen and establishes Daxos as king. In Winterfell, Theon presents the charred corpses of two farm boys to Maester Luwin, claiming they are Brandon and Rickon."
2,8,18,The Prince of Winterfell,53,Alan Taylor,"David Benioff, D. B. Weiss",20-May-2012,3.86,Ramin Djawadi,Jonathan Freeman,Frances Parker,8.6,100,8.8,"April 19, 2011",Second half of 2011,A Clash of Kings,"Robb learns that Catelyn secretly freed Jaime Lannister, who Brienne is escorting to ransom him in exchange for Sansa and Arya; Robb places his mother under house arrest and sends men to capture Jaime. Robb is attracted to a spirited medic, Talisa Maegyr, a woman from Volantis. Yara arrives at Winterfell and criticizes Theon's seizing it, saying it has no strategic value to the Ironborn. He refuses to return to Pyke with her. When Tywin leaves Harrenhal to attack Robb, Arya coerces H'ghar into helping her, Gendry, and their friend, Hot Pie to escape. In King's Landing, Cersei attempts to blackmail Tyrion by abducting Ros, whom the former believes is his secret lover. Joffrey chastises Varys for not having more knowledge of Stark positions, and prepares to lead the attack against Stannis himself. En route to King's Landing, Stannis promises to make Davos his Hand of the King. Beyond the Wall, the Wildling leader, ""Rattleshirt"", leads the captured Jon and Halfhand to his king, Mance Rayder. At the Fist of the First Men, the brothers of the Night's Watch find a hidden cache of dragonglass weapons, left there by a previous Night's Watch brother. In Qarth, Jorah agrees to accompany Daenerys to the House of the Undying to retrieve her dragons. Brandon and Rickon are revealed to be alive and hiding in Winterfell."
2,9,19,Blackwater,54,Neil Marshall,George R. R. Martin,27-May-2012,3.38,Ramin Djawadi,Sam McCurdy,Oral Norrie Ottey,9.6,100,9.5,"April 19, 2011",Second half of 2011,A Clash of Kings,"Stannis' fleet assaults King's Landing. Sansa plays the game, trying to manipulate Joffrey into leading the attack personally, (in hopes of getting him killed), but Joffrey turns out to be too afraid to fight personally. Leading the defense, Tyrion destroys many attacking ships with wildfire, forcing Stannis to attack on land. Sandor Clegane leads the defense outside the gate, but is defeated and retreats inside, denouncing Joffrey and leaving. Joffrey retreats in fear as Tyrion rallies the Gold Cloaks into fighting with him. Stannis' forces enter the castle, but Tyrion leads his men behind Stannis' forces via tunnels and mounts a rearguard attack. Cersei goes to the throne room with Tommen, intending to kill him to save him from being captured. Shae convinces Sansa to hide in her chamber. Sandor Clegane offers to take Sansa to Winterfell, but she refuses to leave. As Tyrion lies wounded and Cersei is about to poison Tommen, Tywin's forces, joined by Loras, arrive and force Stannis to retreat."
2,10,20,Valar Morghulis,63,Alan Taylor,"David Benioff, D. B. Weiss",3-Jun-2012,4.2,Ramin Djawadi,Jonathan Freeman,Frances Parker,9.3,92,9.2,"April 19, 2011",Second half of 2011,A Clash of Kings,"Joffrey sets Sansa aside to marry Margaery Tyrell and ally with the Tyrell family. Tyrion fears for his and Shae's safety after Tywin is named Hand of the King. Melisandre gives Stannis a new hope. Brienne kills Stark soldiers after they recognize Jaime. Catelyn fails to dissuade Robb from marrying Talisa, breaking his promise to wed Walder Frey's daughter. In Qarth, inside the House of the Undying, Daenerys enters a simulacrum of a destroyed Iron Throne room, then is reunited with what appears to be Khal Drogo and their infant son. Knowing it is unreal, she leaves and successfully retrieves her dragons, who fatally burn Pree, who tries to imprison her. She seals Daxos and her traitorous servant inside his empty vault and claims his other possessions, with which Jorah will pay for a small ship. In Winterfell, Theon wants his men to fight Robb's army, but they knock him unconscious and leave; Winterfell is torched. Fatally wounded Maester Luwin convinces Osha to escape with Brandon and Rickon to the Wall for Jon's protection. After Arya, Hot Pie, and Gendry escape Harrenhal, H'ghar gives Arya a non-monetary coin he says can be used to find him in Braavos. Before her, he magically changes his face. North of the Wall, Halfhand forces Jon to kill him to prove his loyalty to the Wildlings. An army of White Walkers and dead men surrounds the Fist of the First Men; Sam hides, watching in horror as they pass."
3,1,21,Valar Dohaeris,54,Daniel Minahan,"David Benioff, D. B. Weiss",31-Mar-2013,4.37,Ramin Djawadi,Jonathan Freeman,Frances Parker,8.6,98,8.3,"April 10, 2012",July–November 2012,A Storm of Swords,"After the White Walkers' attack, the surviving Night's Watchmen, including Samwell Tarly and Jeor Mormont, pledge to return to the Wall and warn the Seven Kingdoms. Jon is brought before Mance Rayder, the ""King beyond the Wall"", and pledges his loyalty to the Wildlings. A scarred Tyrion Lannister attempts to negotiate Casterly Rock from Tywin, who offers lesser promises. Margaery Tyrell engages in charitable acts with King's Landing orphans. Littlefinger offers to help Sansa Stark escape King's Landing. Ros warns Shae to distrust Littlefinger. Davos is rescued by Saan, who wants to break ties with Stannis Baratheon. Davos returns to Dragonstone where he unsuccessfully tries to kill Melisandre and is imprisoned. She blames him for convincing Stannis not to let her join the battle. In Essos, Daenerys Targaryen arrives in Astapor to buy an army of brutally-trained mercenary soldiers called the ""Unsullied"". The Qarth warlocks attempt to assassinate her, but Selmy, a former Kingsguard commander, saves her and pledges his loyalty."
3,2,22,"Dark Wings, Dark Words",57,Daniel Minahan,Vanessa Taylor,7-Apr-2013,4.27,Ramin Djawadi,Jonathan Freeman,Frances Parker,8.5,89,7.4,"April 10, 2012",July–November 2012,A Storm of Swords,"Brienne continues escorting Jaime Lannister across the Riverlands to King's Landing. He engages her in a fight, which is interrupted by Bolton soldiers who capture them. Robb Stark receives news that Winterfell was sacked, and his brothers Bran and Rickon have vanished. Robb diverts his attention from the war against the Lannisters to attend the funeral in Riverrun for Hoster Tully, Catelyn's father. This angers Rickard Karstark, who seeks vengeance against the Lannisters for killing his sons. Arya Stark, Gendry and Hot Pie also make for Riverrun, but are waylaid by the rebel ""Brotherhood without Banners"". They stop at an inn, where the captured Hound exposes Arya's identity. Margaery and her grandmother Olenna, the ""Queen of Thorns"", persuade Sansa to describe Joffrey's deviant character. Theon Greyjoy is tortured by unknown captors. Bran, Rickon, Osha, and Hodor encounter siblings Jojen and Meera Reed, children of Stark bannerman, Howland Reed. Jojen, who shares Bran's strange dreams, tells Bran that he can enter animals' minds."
3,3,23,Walk of Punishment,52,David Benioff,"David Benioff, D. B. Weiss",14-Apr-2013,4.72,Ramin Djawadi,Matthew Jensen,Katie Weiland,8.7,92,8.8,"April 10, 2012",July–November 2012,A Storm of Swords,"Robb and Catelyn attend Hoster Tully's funeral in Riverrun. Tywin Lannister sends Littlefinger to the Eyrie to marry Lysa Arryn to secure her alliance, and makes Tyrion the new Master of Coin. Hot Pie is employed by the inn, while Arya and Gendry follow the Brotherhood. Learning of the massacre at the Fist of the First Men, Rayder sends Jon and a band of Wildlings to scale the Wall and attack the Watch while it is weakened. The surviving Night's Watch men return to Craster's Keep, where Gilly gives birth to a son. Theon is freed by an unknown man, who later rescues him again. Melisandre leaves Dragonstone, mysteriously stating that the blood of a king is required for victory. Daenerys barters for the 8,000 Unsullied and the translator Missandei in exchange for one of her young dragons, ignoring Selmy's and Jorah's advice. Jaime persuades his captor, Locke, to prevent Brienne being raped by claiming her father will pay a huge ransom; Locke agrees but he then severs Jaime's right hand without warning."
3,4,24,And Now His Watch Is Ended,53,Alex Graves,"David Benioff, D. B. Weiss",21-Apr-2013,4.87,Ramin Djawadi,Anette Haellmigk,Katie Weiland,9.5,100,9.3,"April 10, 2012",July–November 2012,A Storm of Swords,"Theon's ""rescuer"" betrays him, returning him to the prison for more torture. After a failed escape attempt, Jaime believes himself lost without his sword hand; Brienne urges him to remain hopeful. Varys tells Tyrion how he became a eunuch, then shows him the magician who castrated him, who is now his captive. He advises Tyrion be patient for vengeance. At Craster's Keep, the surviving Night's Watchmen, starving, come into conflict with their host. Craster and Mormont are slain in the struggle, and Sam flees with Gilly and her new-born son. Arya and Gendry are taken to the Brotherhood's secret cave, meeting their leader, Dondarrion, who later sentences Sandor Clegane to trial by combat with him. Margaery proposes that Sansa marry Loras, which Sansa finds agreeable, unaware he is gay. Daenerys meets with slaver Kraznys to trade one dragon for the Unsullied army. Once the deal is struck, she commands the Unsullied to kill all the slave masters, and has her dragon burn Kraznys; she frees the Unsullied, who willingly follow her."
3,5,25,Kissed by Fire,57,Alex Graves,Bryan Cogman,28-Apr-2013,5.35,Ramin Djawadi,Anette Haellmigk,Katie Weiland,8.9,100,9.2,"April 10, 2012",July–November 2012,A Storm of Swords,"Tyrion, knowing the Crown is deeply in debt to the Iron Bank, persuades Olenna to pay for half of the royal wedding. Sansa tells Littlefinger she wants to remain in King's Landing. Tywin discovers the Tyrells' intend to marry Sansa to Loras. To circumvent this, he plots to marry Sansa to Tyrion, and Cersei to Loras over both Lannister's objections. Stannis confesses his infidelity to his wife, Selyse, who says she knows and approves. Their daughter, Princess Shireen, sneaks into the dungeon to visit Davos and teaches him to read. Sandor is released after killing Dondarrion in the trial by combat. Thoros resurrects Dondarrion, using the Lord of Light's power. Gendry remains with the Brotherhood, who intend to ransom Arya to Robb. After being delivered to Roose Bolton, Jaime tells Brienne he killed ""Mad"" King Aerys Targaryen to prevent his destroying King's Landing with wildfire. Robb executes Lord Karstark after the latter murders two captive Lannister boys. With the Karstarks abandoning him, Robb hopes to make a new alliance with Walder Frey. Ygritte seduces Jon, who breaks his Night's Watch vows. Daenerys encourages the Unsullied to choose a leader among them; they choose Grey Worm."
