index,Rank,Name,Age,Country/Territory,Category,Designation
62,63,Yuriko Koike,68,Japan,Politics & Policy,"Governor, Tokyo, Japan"
63,64,Wang Feng Ying,-,China,Business,"CEO, Great Wall Motor Company Limited"
64,65,Melanie Kreis,49,Germany,Business,"CFO, Deutsche Post"
65,66,Paula Santilli,-,Mexico,Business,"CEO, PepsiCo Latin America, PepsiCo"
66,67,MacKenzie Scott,50,United States,Philanthropy,"Author, Philanthropist"
67,68,Kiran Mazumdar-Shaw,67,India,Business,"Founder, Chair and Managing Director, Biocon Ltd."
68,69,Rihanna,33,Barbados,Media & Entertainment,Musician
69,70,Zhou Qunfei,51,Hong Kong,Technology,"Founder and CEO, Lens Technology"
70,71,Sophie Wilmes,46,Belgium,Politics & Policy,"Prime Minister, Belgium"
71,72,Beyoncé Knowles,39,United States,Media & Entertainment,Musician
72,73,Kathleen Kennedy,67,United States,Media & Entertainment,"President, Lucasfilm"
73,74,Judy Faulkner,77,United States,Business,"CEO and Founder, Epic Systems"
74,75,Mette Frederiksen,43,Denmark,Politics & Policy,"Prime Minister, Denmark"
75,76,Güler Sabanci,66,Turkey,Business,"Chairman and Managing Director, Sabanci Holding"
76,77,Andrea Marques de Almeida,-,Brazil,Business,"Chief Financial and Investor Relations Officer, Petrobras"
77,78,Sri Mulyani Indrawati,58,Indonesia,Politics & Policy,"Minister of Finance, Indonesia"
78,79,Ava DuVernay,48,United States,Media & Entertainment,Director
79,80,Solina Chau,59,Hong Kong,Philanthropy,"Director, Li Ka Shing Foundation"
80,81,Lam Wai-ying,-,Hong Kong,Technology,"Chairman, Biel Crystal"
81,82,Taylor Swift,31,United States,Media & Entertainment,Musician
82,83,Zuzana Caputova,47,Slovakia,Politics & Policy,"President, Slovakia"
83,84,Mary Meeker,61,United States,Technology,"General Partner, Bond Capital"
84,85,Sanna Marin,35,Finland,Politics & Policy,"Prime Minister, Finland"
85,86,Eliza Manningham-Buller,72,United Kingdom,Philanthropy,"Chair, Wellcome Trust"
86,87,Linda Rendle,-,United States,Business,"CEO, Clorox"
87,88,Tory Burch,54,United States,Business,"Executive Chairman & Chief Creative Officer, Tory Burch"
88,89,Raja Easa Al Gurg,-,United Arab Emirates,Business,"Managing director, Easa Saleh Al Gurg Group"
89,90,Lee Boo-jin,50,South Korea,Business,"President and CEO, Hotel Shilla"
90,91,Dominique Senequier,67,France,Finance,"Founder and President, Ardian"
91,92,Reese Witherspoon,44,United States,Media & Entertainment,Actress
92,93,Anne Wojcicki,47,United States,Technology,"Cofounder and CEO, 23andMe"
93,94,Mellody Hobson,51,United States,Finance,"Co-CEO, Ariel Investments"
94,95,Kirsten Green,49,United States,Technology,"Founder and Managing Partner, Forerunner Ventures"
95,96,Sahle-Work Zewde,71,Ethiopia,Politics & Policy,"President, Ethiopia"
96,97,Aileen Lee,51,United States,Technology,"Founder and General Partner, Cowboy Ventures"
97,98,Renuka Jagtiani,-,United Arab Emirates,Business,"Chairwoman and COO, Landmark Group"
98,99,Rania Nashar,-,Saudi Arabia,Finance,"CEO, Samba Financial Group"
99,100,Stacey Abrams,47,United States,Politics & Policy,"Founder, Fair Fight"
100,Rank,Name,Description,,,
101,1,Angela Merkel,Merkel became the first female Chancellor of Germany in 2005 and is serving her fourth term.,,,
102,1,Angela Merkel,"In November 2018, Merkel stepped down as leader of the Christian Democratic Union and announced she wouldn't seek another term as chancellor in 2021.",,,
103,1,Angela Merkel,"Merkel remains the de facto leader of Europe, leading the region's largest economy after steering Germany through financial crisis and back to growth.",,,
104,1,Angela Merkel,"Her leadership is marked by her steely reserve, from standing up to Donald Trump to allowing more than a million Syrian refugees into Germany.",,,
105,1,Angela Merkel,An October 2020 survey found 75% of adults in 14 European countries trust Merkel more than any other leader in the region.,,,
106,1,Angela Merkel,The big question that the public is now asking is who and what will come after Merkel's time in office comes to an end.,,,
107,2,Christine Lagarde,"Lagarde became the first woman to head the European Central Bank on November 1, 2019.",,,
108,2,Christine Lagarde,"As head of European monetary policy, Lagarde faces a critical test: ensuring the coronavirus pandemic does not wreak further havoc on the Euro zone.",,,
109,2,Christine Lagarde,"""I think 2021 will certainly be a difficult first half of the year,"" she predicted in November 2020.",,,
110,2,Christine Lagarde,"From 2011 until mid-2019, Lagarde ran the International Monetary Fund that works to ensure the stability of the global monetary system.",,,
111,2,Christine Lagarde,She was the first woman to hold that position.,,,
112,2,Christine Lagarde,"On the 10-year anniversary of the 2008 bank collapse, Lagarde pointed to ""groupthink"" in the male-dominated industry and called for gender reform",,,
113,3,Kamala Harris,"On November 7, 2020, Harris became the first woman in American history elected to the vice presidency.",,,
114,3,Kamala Harris,"She's no stranger to firsts: In 2016, Harris was the first Indian-American woman to be elected to the United States Senate.",,,
115,3,Kamala Harris,"And in 2010, Harris became the first African-American and first woman to serve as California's attorney general.",,,
116,3,Kamala Harris,Harris is a California native; she was born in Oakland to immigrant parents (her mom was from India and her dad was from Jamaica).,,,
117,3,Kamala Harris,"As a Howard University alumna, Harris will be the first graduate of a historically Black college or university to hold the vice presidency.",,,
118,4,Ursula von der Leyen,"Ursula von der Leyen was appointed president of the European Commission, the executive branch of the European Union, in July 2019.",,,
119,4,Ursula von der Leyen,"She is the first woman to serve in the role, which is responsible for legislation affecting more than 700 million Europeans.",,,
120,4,Ursula von der Leyen,"From 2005 until 2019, von der Leyen served in Angela Merkel's cabinet--the longest tenure of any cabinet member.",,,
121,4,Ursula von der Leyen,"For the last six years of her time in the cabinet, she was Germany's defense minister.",,,
122,4,Ursula von der Leyen,"In September 2020, in her first state of the union speech as commissioner, she spoke out against anti-LGBTQ policies in Poland.",,,
123,5,Melinda Gates,Gates maintains her position as most powerful woman in philanthropy as co-chair of the Bill and Melinda Gates Foundation.,,,
124,5,Melinda Gates,"Founded in 2000, it's the world's largest private charitable foundation with a $40 billion trust endowment.",,,
125,5,Melinda Gates,"She's increasingly visible in shaping foundation strategy, solving tough global challenges from education and poverty to contraception and sanitation.",,,
126,5,Melinda Gates,"As part of the foundation's mission to help all people lead healthy, productive lives, she has devoted much of her work to women's and girls' rights.",,,
127,5,Melinda Gates,"In her next chapter, Gates' mission is to close the funding gap for female founders, through her investment and incubation company, Pivotal Ventures.",,,
128,6,Mary Barra,"GM's CEO since 2014, Barra is the first woman to lead one of the big three automakers in the U.S.",,,
129,6,Mary Barra,"Barra has invested billions in electric vehicles, self-driving cars and a ride-share service called Maven.",,,
130,6,Mary Barra,"In spring 2020, she shifted GM's production lines to help Ventec Life Systems make critically-needed ventilators.",,,
131,6,Mary Barra,"Having earned $21.6 million in 2019, Barra has the highest compensation of any leader of a Detroit Big Three automaker.",,,
132,6,Mary Barra,"GM has consistently scored highly in gender equity reports; in 2018, it was one of only two global businesses that have no gender pay gap.",,,
133,7,Nancy Pelosi,Nancy Pelosi is the 52nd Speaker of the U.S. House of Representatives.,,,
134,7,Nancy Pelosi,The role makes her the highest-ranking elected woman in the country and the second-in-line for the presidency.,,,
135,7,Nancy Pelosi,She started her third term as Speaker in 2019; she previously held the position from 2007 to 2011.,,,
136,7,Nancy Pelosi,"In 2019, she initiated the fourth-ever impeachment proceedings in U.S. history against President Donald Trump.",,,
137,7,Nancy Pelosi,"In 2013, she was inducted into the National Women's Hall of Fame at a ceremony in Seneca Falls.",,,
138,8,Ana Patricia Botín,"Botín became chair of the company in 2014, after the sudden death of her father, Emilio.",,,
139,8,Ana Patricia Botín,She pulled off a coup in 2017 when Banco Santander acquired failing Banco Popular (BP) for 1 euro to become Spain's largest bank.,,,
140,8,Ana Patricia Botín,"In the face of political unrest, she has championed fintech and focused on entrepreneurs, backing small enterprise and women-owned businesses.",,,
141,8,Ana Patricia Botín,She launched Santander X to support university entrepreneurship and helped create the country's first multi-sector blockchain-based platform.,,,
142,8,Ana Patricia Botín,"The bank's $200 million InnoVentures private equity fund has seeded disruptors such as Digital Asset Holdings, Ripple and Kabbage.",,,
143,9,Abigail Johnson,"Abigail Johnson has served as CEO of Fidelity Investments since 2014, when she took over for her father, and has been chairman since 2016.",,,
144,9,Abigail Johnson,"Her grandfather, Edward Johnson II, founded the Boston-based mutual fund giant in 1946.",,,
145,9,Abigail Johnson,"She owns an estimated 24.5% stake of the firm, which has nearly $2.9 trillion in managed assets.",,,
146,9,Abigail Johnson,"Johnson has embraced cryptocurrencies and, in 2018, Fidelity launched a platform that allows institutional investors to trade bitcoin and ether.",,,
147,9,Abigail Johnson,She worked summers at Fidelity through college and joined full-time as an analyst in 1988 after receiving a Harvard M.B.A.,,,
148,10,Gail Boudreaux,"Boudreaux was named CEO of Anthem in 2017. She was previously CEO of UnitedHealthcare, the largest division within UnitedHealth Group.",,,
149,10,Gail Boudreaux,"It's one of the nation's largest health insurers and has completed acquisitions of America's 1st Choice, HealthSun and Aspire Health.",,,
150,10,Gail Boudreaux,The Anthem Foundation Awards announced over $53 million in grants to address critical health issues facing Americans.,,,
151,10,Gail Boudreaux,"With her industry experience, she has earned plaudits from peers and Wall Street alike; in the first two years of her tenure, the stock popped 20%.",,,
152,11 ,Carol Tomé,"As Tomé puts it, she broke ""lots of glass"" when she was appointed to run shipping giant UPS in June 2020.",,,
153,11 ,Carol Tomé,"She is both its first ""outsider"" CEO and its first female chief executive.",,,
154,11 ,Carol Tomé,"She came out of retirement to take the gig; Tomé had retired from a long tenure at Home Depot, where she had been CFO, in 2019.",,,
155,11 ,Carol Tomé,"In her first 100 days as CEO, she focused on preparing the logistics for the 2020 holiday season and the eventual delivery of a Covid vaccine.",,,
156,11 ,Carol Tomé,"UPS has been an essential service during the pandemic, with annual delivery volumes up by double-digit percent as Americans have hunkered at home.",,,
157,12,Emma Walmsley,"Walmsley became CEO of GlaxoSmithKline in April of 2017, making her the first woman to run a major pharmaceutical company.",,,
158,12,Emma Walmsley,"Since taking helm of the 300-year-old company, she led a global restructuring program aimed at saving more than $500 million a year by 2021.",,,
159,12,Emma Walmsley,The savings will be invested in R&D spending and funding a pipeline of new products.,,,
160,12,Emma Walmsley,"In one of her biggest moves since becoming CEO, Walmsley led the $13 billion dollar purchase of Novartis's 36% stake in GSK Consumer Health.",,,
161,12,Emma Walmsley,"Alongside her pharma peers, Walmsley said that GSK does not intend to profit off of the Covid vaccine it is developing.",,,
162,13,Susan Wojcicki,"Susan Wojcicki is CEO of Alphabet subsidiary YouTube, which has 2 billion monthly users.",,,
163,13,Susan Wojcicki,"In 1998, Google cofounders Sergey Brin and Larry Page rented Wojcicki's garage in Menlo Park, California and developed Google's search engine there.",,,
164,13,Susan Wojcicki,"She was hired in 1999 as Google employee number 16, and worked on everything from AdSense and Google Analytics to Google Books and Google Images.",,,
165,13,Susan Wojcicki,"In 2006 she advocated for the $1.65 billion acquisition of YouTube; the site, which she has run since 2014, is now worth an estimated $90 billion.",,,
166,13,Susan Wojcicki,"Before Google, Wojciki worked in the marketing department at Intel and as a management consultant at Bain & Company.",,,
167,14,Julie Sweet,Julie Sweet became the CEO of global services company Accenture in September 2019.,,,
168,14,Julie Sweet,"Before becoming CEO, Sweet served as Accenture's general counsel and its head of North America--the company's largest market.",,,
169,14,Julie Sweet,"Sweet also serves on the Business Roundtable, the World Economic Forum's International Business Council, and Catalyst's board of directors.",,,
170,14,Julie Sweet,"Diversity is a priority for Sweet. ""A culture of equality helps everyone. It is not a zero-sum game,"" she has told Forbes.",,,
171,15,Safra Catz,"Catz has served as CEO of software firm Oracle since September 2014, when founder Larry Ellison stepped down from the role.",,,
172,15,Safra Catz,"She joined Oracle in 1999 is credited with spearheading Oracle's aggressive acquisition strategy, helping close more than 130 acquisitions.",,,
173,15,Safra Catz,"An Oracle veteran, Catz is one of Ellison's closest confidants.",,,
174,15,Safra Catz,"Despite Catz's complaints to Trump that a bid process favored Amazon in 2018, he invited her to join the Presidential Intelligence Advisory Board.",,,
175,15,Safra Catz,"Catz and her husband Gal Tirosh gave $250,000 to President Trump's fundraising committee in June 2020",,,
176,16,Ruth Porat,"Ruth Porat has been chief financial officer of Google's parent company, Alphabet, since 2015.",,,
177,16,Ruth Porat,"Prior to Google, Porat rose through the ranks at Morgan Stanley over a 27-year career to become chief financial officer in 2010.",,,
178,16,Ruth Porat,"In February, Alphabet disclosed for the first time the 2019 financial results for some of its subsidiaries, including YouTube and its cloud computing.",,,
179,16,Ruth Porat,"Porat has been praised for reining in spending on some of Google's 'other bets,' including delivering its own wireless service.",,,
180,16,Ruth Porat,"In June 2020, Porat joined the board of Wall Street investment firm Blackstone.",,,
181,17,Judith McKenna,Judith McKenna started as president and CEO of retail giant Walmart International in February 2018.,,,
182,17,Judith McKenna,"McKenna leads more than 6,000 retail stores and 700,000 associates across 26 countries.",,,
183,17,Judith McKenna,She plans to invest around $1.2 billion in distribution centers in China over the next two decades,,,
184,17,Judith McKenna,McKenna led Walmart's sale of British supermarket Asda for $8.8 billion in October 2020.,,,
185,18,Kristalina Georgieva,Bulgarian economist and former CEO of the World Bank Georgieva has been the managing director of the International Monetary Fund since October 2019.,,,
186,18,Kristalina Georgieva,Georgieva was previously the Interim President for the World Bank Group and was responsible for the organizations efforts to end extreme poverty by 2030.,,,
187,18,Kristalina Georgieva,"In December 2019, Georgieva spearheaded a new three-year loan program with Ukraine worth $5.5 billion.",,,
188,18,Kristalina Georgieva,Among her main focuses are the climate crisis and its link to financial stability as well as the rising debt levels in Africa.,,,
189,18,Kristalina Georgieva,"The IMF has been a source of financial support to member countries since the beginning of the pandemic, increasing lending by 50% to $270 billion.",,,
190,19,Martina Merz,Merz is an engineer who became the CEO of German conglomerate Thyssenkrupp in 2019.,,,
191,19,Martina Merz,"She will remain in the role until at least 2023, according to her CEO contract.",,,
192,19,Martina Merz,Merz spent more than two decades of her career working at German engineering company Bosch. She has also served on Lufthansa's supervisory board.,,,
193,19,Martina Merz,"With more than 100,000 employees and $35 billion in fiscal 2019 revenue, Thyssenkrupp is one of the world's largest steel producers.",,,
194,20,Oprah Winfrey,"Oprah Winfrey has transitioned her hit talk show, which ran for 25 years, into a media and business empire.",,,
195,20,Oprah Winfrey,"The former news anchor built the reinvested profits from her talk show into $2 billion, according to ""Forbes"" estimates.",,,
196,20,Oprah Winfrey,"In 2011, Winfrey launched cable channel OWN. Her 25.5% of the network is worth more than $65 million.",,,
197,20,Oprah Winfrey,The 'Oprah effect' has spread to Weight Watchers: she bought a 10% stake in 2015 (since lowered to 7%) and acts as a brand ambassador.,,,
198,20,Oprah Winfrey,"In March 2020, she returned to the small screen on Apple TV+ for an interview show about Covid-19 as part of her multiyear pact with the streamer.",,,
199,21,Jessica Tan,Tan first joined the Chinese finance insurance giant in 2013 as group CIO; she became the group's co-CEO in 2018.,,,
200,21,Jessica Tan,"Before joining Ping An, Tan was a partner at McKinsey, and she has a degree in engineering from MIT.",,,
201,21,Jessica Tan,"Tan sees Ping An as more of a tech firm than financial services: ""We have over twenty thousand patents right now,"" she said in September 2019.",,,
202,21,Jessica Tan,"Ping An has nearly 500 million online users, and 1.4 million insurance agents at its disposal.",,,
203,22,Sheryl Sandberg,"As Chief Operating Officer at Facebook, she led the social media company from a $56 million loss in 2008 to $18.5 billion in profits in 2019.",,,
204,22,Sheryl Sandberg,"Her focus on positioning Facebook as a platform for small business advertising helped increase ad revenue by 27% during 2019, to $69.7 billion.",,,
205,22,Sheryl Sandberg,Sandberg and Zuckerberg have spent much of 2020 defending how the company polices hate speech on its platform.,,,
206,22,Sheryl Sandberg,"Despite the controversy, Zuckerberg has pledged his confidence in Sandberg's leadership and future at Facebook.",,,
207,23,Jane Fraser,Longtime Citigroup executive Jane Fraser was named as CEO Michael Corbat's successor in 2020; she'll officially assume the role in February 2021.,,,
208,23,Jane Fraser,The move will make her the first female CEO of a major Wall Street bank.,,,
209,23,Jane Fraser,"Prior to being named the company's next CEO, Fraser served as president of Citigroup and CEO of Global Consumer Banking.",,,
210,23,Jane Fraser,"Since joining Citi in 2004, she's led multiple groups, including corporate strategy and mergers and acquisitions during the financial crisis.",,,
211,24,Shari Redstone,"Redstone, the daughter of media mogul Sumner Redstone, is chairwoman of media empire ViacomCBS.",,,
212,24,Shari Redstone,She successfully facilitated the 2019 $12 billion merger deal between CBS Corp. and Viacom Inc.,,,
213,24,Shari Redstone,"She is the first woman to have such a large stake of a U.S. media business, controlling a $30 billion media empire.",,,
214,24,Shari Redstone,A CBS suit against Ms. Redstone over control of the company was dismissed in May 2018 as CBS Chief Leslie Moonves was ousted due to sexual misconduct.,,,
215,25,Nicke Widyawati,Widyawati is the CEO and president-director of Indonesian oil and gas company Pertamina. She is the second female-director of the company.,,,
216,25,Nicke Widyawati,"As Pertamina is state-owned, Widyawati's employment is contingent on the decisions of the Indonesian government.",,,
217,25,Nicke Widyawati,"In June 2020, a cabinet member told local press that Widyawati is ""still the best"" for the role and is ""able to carry out any task assigned to her.""",,,
218,25,Nicke Widyawati,The company earned close to $55 billion in 2019 revenue and $2.5 billion in net profit on the year.,,,
219,25,Nicke Widyawati,"In spring 2020, Widyawati tempered investor expectations by revealing that she expected a 45% covid-related hit to company revenue.",,,
220,26,Amanda Blanc,"An Aviva board member since January 2020, Blanc took over as the insurance company's CEO in July 2020.",,,
221,26,Amanda Blanc,"Aviva has 33 million customers, £510 billion of group assets under management and 31,000 people.",,,
222,26,Amanda Blanc,"She previously served as CEO of Zurich Insurance Group, EMEA & Global Banking Partnerships.",,,
223,26,Amanda Blanc,Blanc also has a voluntary role as chair of the Welsh Professional Rugby Board.,,,
224,26,Amanda Blanc,"In 2013 and 2015, she was voted as the UK Insurer CEO's CEO of the Year.",,,
225,27,Phebe Novakovic,Novakovic has served as chairwoman and CEO of defense giant General Dynamics since 2013.,,,
226,27,Phebe Novakovic,She is one of the only female executives in the military-industrial space.,,,
227,27,Phebe Novakovic,Her experience in the industry predates her experience at the company: She's a former CIA operative and the daughter of an Air Force officer.,,,
228,27,Phebe Novakovic,"In 2018, Novakovic led General Dynamics in its $9.8 billion acquisition of IT firm CSRA.",,,
229,27,Phebe Novakovic,"On the commercial aerospace side, the trademark Gulfstream G650 business jet aircraft operates more than 280 G650s in 40 countries.",,,
230,28,Amy Hood,"As CFO since 2013, Hood has seen Microsoft nip at Apple's heels in the race to become the largest publicly traded company by stock market value.",,,
231,28,Amy Hood,"Hood can be credited with much of Microsoft's recent boom; in the first five years after she became CFO, the company's stock surged nearly 300%.",,,
232,28,Amy Hood,"She's helped engineer over 57 deals while at Microsoft, including the 2018 $7.5 billion acquisition of software development platform GitHub.",,,
233,28,Amy Hood,Hood strategically shifted money away from some of Microsoft's legacy divisions such as Windows to invest in their growing cloud computing division.,,,
234,29,Shemara Wikramanayake,"Wikramanayake is the managing director and CEO of the Macquarie group, a role she assumed in December 2018.",,,
235,29,Shemara Wikramanayake,She joined Macquarie in 1987; she worked within Macquarie Capital for 20 years until being appointed as head of Macquarie Asset Management in 2008.,,,
236,29,Shemara Wikramanayake,"Wikramanayake has two sons, and has been open about how her husband, a former investment banker, helped make her career possible by staying at home.",,,
237,29,Shemara Wikramanayake,She was born in the U.K and was raised there and in Sri Lanka before immigrating to Australia with her parents when she was 13.,,,
238,30,Ho Ching,Ho Ching has been CEO of Singaporean sovereign wealth fund Temasek since 2004 and has helped its portfolio grow to over $313 billion.,,,
239,30,Ho Ching,"Temasek was one of the main investors in a $14 billion dollar fundraising round by Ant Financial, an affiliate of Alibaba.",,,
240,30,Ho Ching,"Ho opened offices in San Francisco in 2018 and poured over a quarter of Temasek's money into sectors like life sciences, tech and agribusiness.",,,
241,30,Ho Ching,Ho is also the wife of Singaporean Prime Minister Lee Hsien Loong.,,,
242,31,Jessica Uhl,"Uhl has served as the CFO of Royal Dutch Shell, a $388 billion-revenue business, since 2017.",,,
243,31,Jessica Uhl,"She first joined Shell in 2004 in the finance and business development division, working within the renewables business.",,,
244,31,Jessica Uhl,Uhl started her career at Citibank in San Francisco as a financial analyst and where she helped finance small and medium-sized companies.,,,
245,32,Jacinda Ardern,"Ardern set new norms as a government leader when she gave birth, took six weeks maternity leave and shared that her partner will be a stay-at-home dad.",,,
246,32,Jacinda Ardern,"Rising to power on a tide of ""Jacindamania,"" at 38, she is the youngest female leader in the world and New Zealand's youngest PM in 150 years.",,,
247,32,Jacinda Ardern,She was elected to a second term in a landslide in October 2020.,,,
248,32,Jacinda Ardern,"As leader of the Labour Party, she promises an ""empathetic"" government, with ambitious plans to tackle climate change and child poverty.",,,
249,32,Jacinda Ardern,"In 2020, she received global praise for her capable handling of the Covid-19 pandemic. New Zealand successfully eliminated the virus in both waves.",,,
250,33,Adena Friedman,"Since becoming the first woman CEO to lead a global stock exchange in 2017, Friedman has been busy modernizing Nasdaq.",,,
251,33,Adena Friedman,"Calling Nasdaq an ""engine for capitalism,"" Friedman advocates for bringing companies back to the public market and making investing accessible.",,,
252,33,Adena Friedman,"She is focused on diversifying Nasdaq into a technology company with a focus on growth opportunities, such as data research services.",,,
253,33,Adena Friedman,"In 2020, Nasdaq asked the SEC to require companies listed on its exchange to publish board diversity data in an effort to advance corporate diversity.",,,
254,33,Adena Friedman,In 2018 Friedman joined the Board of the NY Federal Rese,,,
255,34,Joey Wat,"Joey Wat has served as CEO of Yum! China since 2018. With more than 10,000 restaurants in its portfolio, it's the largest restaurant company in China.",,,
256,34,Joey Wat,She first joined the company as president of KFC China in 2014 after spending the prior ten years of her career with the U.K's Watson Group.,,,
257,34,Joey Wat,"Wat has an MBA from the Kellogg School; after graduating, she went on to work as a consultant for McKinsey for seven years.",,,
258,34,Joey Wat,"In December 2020, Wat said that digital payments are 97% of Yum's business, between kiosk, online, and delivery.",,,
259,34,Joey Wat,"""I'm a mom,"" she told Forbes Asia in 2019. ""Nothing is more important than childcare. Not even my job.""",,,
260,35,Stacey Cunningham,Cunningham made history in 2018 as the first female president of the New York Stock Exchange in its 226-year history.,,,
261,35,Stacey Cunningham,"Prior to leading the world's largest stock exchange, she served as COO, overseeing NYSE's equities, equities derivatives and exchange-traded products.",,,
262,35,Stacey Cunningham,"Since her appointment, Cunningham has played a critical role in updating the NYSE's trading operations.",,,
263,35,Stacey Cunningham,She made a swift decision to shut down in-person trading at the Exchange in March 2020 as the coronavirus spread through New York.,,,
264,35,Stacey Cunningham,"Cunningham reopened the Big Board in May, at reduced capacity, and says she doesn't foresee adding more floor traders until there is a covid vaccine.",,,
265,36,Anne Finucane,"As Vice Chairman, Finucane oversees Bank of America's strategic direction and governs how the bank impacts the world.",,,
266,36,Anne Finucane,She leads the deployment of capital to address sustainable development goals and the application of data and analytics to improve profitability.,,,
267,36,Anne Finucane,"As chairman of Bank of America Europe, Finucane is tasked with navigating a post-Brexit world for the bank.",,,
268,36,Anne Finucane,The role includes governance and oversight of £60 billion in assets and business operations.,,,
